           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.64917200      1.0000000       7748.583     0.07983987       62.67868     -123.90237       6947.892     0.02959461       -63.1664
    -0.64556000      0.9954793       7747.310     0.07983963       62.61625     -123.81082       6947.939     0.03111975       -63.1724
    -0.64199700      0.9910200       7746.062     0.07983943       62.55474     -123.72176       6947.977     0.03261568       -63.1785
    -0.63842700      0.9865519       7744.806     0.07983919       62.49321     -123.63299       6948.002     0.03412136       -63.1846
    -0.63485300      0.9820788       7743.538     0.07983895       62.43125     -123.54395       6948.021     0.03564080       -63.1909
    -0.63127600      0.9776020       7742.264     0.07983868       62.36918     -123.45476       6948.033     0.03716827       -63.1972
    -0.62769600      0.9731214       7740.973     0.07983836       62.30670     -123.36501       6948.037     0.03871542       -63.2035
    -0.62411300      0.9686370       7739.669     0.07983794       62.24374     -123.27474       6948.036     0.04027791       -63.2099
    -0.62052600      0.9641477       7738.328     0.07983727       62.17965     -123.18250       6948.026     0.04188540       -63.2164
    -0.61693500      0.9596533       7736.941     0.07983642       62.11412     -123.08765       6948.006     0.04354791       -63.2230
    -0.61334100      0.9551552       7735.518     0.07983540       62.04742     -122.99086       6947.976     0.04525374       -63.2296
    -0.60974300      0.9506521       7733.991     0.07983408       61.97717     -122.88736       6947.935     0.04708437       -63.2363
    -0.60614200      0.9461452       7732.338     0.07983258       61.90249     -122.77522       6947.883     0.04906563       -63.2430
    -0.60253800      0.9416345       7730.617     0.07983097       61.82555     -122.65866       6947.821     0.05112762       -63.2498
    -0.59892900      0.9371176       7728.824     0.07982922       61.74617     -122.53723       6947.750     0.05327704       -63.2566
    -0.59531700      0.9325970       7726.912     0.07982738       61.66243     -122.40714       6947.674     0.05556892       -63.2634
    -0.59170100      0.9280713       7724.932     0.07982551       61.57615     -122.27202       6947.595     0.05794116       -63.2702
    -0.58808100      0.9235407       7722.907     0.07982358       61.48836     -122.13366       6947.510     0.06036842       -63.2770
    -0.58445700      0.9190050       7720.837     0.07982158       61.39912     -121.99207       6947.420     0.06284926       -63.2837
    -0.58083000      0.9144656       7718.696     0.07981961       61.30697     -121.84478       6947.331     0.06541521       -63.2905
    -0.57719800      0.9099199       7716.535     0.07981754       61.21425     -121.69619       6947.236     0.06800551       -63.2972
    -0.57356300      0.9053705       7714.358     0.07981533       61.12128     -121.54673       6947.133     0.07061490       -63.3039
    -0.56992400      0.9008160       7712.172     0.07981301       61.02830     -121.39675       6947.026     0.07323475       -63.3105
    -0.56628100      0.8962566       7710.008     0.07981023       60.93675     -121.24920       6946.908     0.07582874       -63.3171
    -0.56263400      0.8916921       7707.828     0.07980713       60.84543     -121.10125       6946.778     0.07844163       -63.3235
    -0.55898300      0.8871227       7705.636     0.07980375       60.75433     -120.95307       6946.636     0.08106910       -63.3298
    -0.55532800      0.8825482       7703.396     0.07979992       60.66229     -120.80243       6946.479     0.08375298       -63.3360
    -0.55167000      0.8779700       7701.008     0.07979577       60.56513     -120.64121       6946.308     0.08661577       -63.3421
    -0.54800700      0.8733855       7698.529     0.07979149       60.46488     -120.47357       6946.127     0.08958732       -63.3482
    -0.54434100      0.8687972       7695.951     0.07978708       60.36144     -120.29880       6945.935     0.09267707       -63.3542
    -0.54067000      0.8642028       7693.214     0.07978267       60.25227     -120.11209       6945.732     0.09595767       -63.3601
    -0.53699600      0.8596045       7690.477     0.07977839       60.14318     -119.92531       6945.524     0.09923741       -63.3660
    -0.53331700      0.8550000       7687.763     0.07977418       60.03499     -119.74024       6945.310     0.10249044       -63.3719
    -0.52963500      0.8503917       7685.072     0.07977005       59.92767     -119.55698       6945.091     0.10571526       -63.3778
    -0.52594800      0.8457772       7682.640     0.07976631       59.82943     -119.39300       6944.878     0.10863120       -63.3839
    -0.52225800      0.8411589       7680.333     0.07976264       59.73620     -119.23885       6944.660     0.11139576       -63.3901
    -0.51856400      0.8365357       7678.125     0.07975902       59.64702     -119.09241       6944.438     0.11404166       -63.3962
    -0.51486500      0.8319061       7676.030     0.07975545       59.56244     -118.95474       6944.212     0.11655362       -63.4022
    -0.51116400      0.8272741       7674.063     0.07975174       59.48280     -118.82777       6943.978     0.11891119       -63.4084
    -0.50745800      0.8226358       7672.113     0.07974784       59.40425     -118.70271       6943.737     0.12124780       -63.4145
    -0.50374800      0.8179925       7670.191     0.07974380       59.32709     -118.58034       6943.488     0.12355120       -63.4207
    -0.50003300      0.8133429       7668.289     0.07973958       59.25085     -118.46004       6943.232     0.12583139       -63.4269
    -0.49631600      0.8086909       7666.522     0.07973528       59.17922     -118.35130       6942.970     0.12794842       -63.4336
    -0.49259400      0.8040325       7664.832     0.07973100       59.11043     -118.24931       6942.700     0.12997485       -63.4405
    -0.48886900      0.7993705       7663.215     0.07972669       59.04463     -118.15387       6942.420     0.13191280       -63.4475
    -0.48513900      0.7947021       7661.689     0.07972234       58.98265     -118.06644       6942.130     0.13374168       -63.4546
    -0.48140600      0.7900300       7660.283     0.07971798       58.92555     -117.98957       6941.829     0.13542623       -63.4619
    -0.47766900      0.7853529       7658.903     0.07971352       58.86954     -117.91596       6941.514     0.13708042       -63.4693
    -0.47392800      0.7806708       7657.538     0.07970896       58.81402     -117.84458       6941.189     0.13871657       -63.4771
    -0.47018300      0.7759837       7656.182     0.07970433       58.75883     -117.77495       6940.853     0.14034187       -63.4850
    -0.46643400      0.7712916       7654.832     0.07969962       58.70399     -117.70682       6940.507     0.14196024       -63.4932
    -0.46268200      0.7665957       7653.576     0.07969492       58.65299     -117.64677       6940.153     0.14346511       -63.5014
    -0.45892600      0.7618949       7652.408     0.07969024       58.60572     -117.59403       6939.794     0.14486519       -63.5096
    -0.45516600      0.7571890       7651.325     0.07968559       58.56204     -117.54879       6939.426     0.14616354       -63.5178
    -0.45140200      0.7524781       7650.340     0.07968101       58.52256     -117.51204       6939.048     0.14734432       -63.5261
    -0.44763400      0.7477622       7649.477     0.07967647       58.48839     -117.48576       6938.660     0.14837884       -63.5343
    -0.44386300      0.7430426       7648.788     0.07967204       58.46152     -117.47423       6938.262     0.14920360       -63.5426
    -0.44008800      0.7383179       7648.175     0.07966766       58.43787     -117.46925       6937.855     0.14993862       -63.5509
    -0.43631000      0.7335895       7647.630     0.07966335       58.41714     -117.47024       6937.442     0.15059229       -63.5592
    -0.43252700      0.7288548       7647.155     0.07965912       58.39948     -117.47726       6937.022     0.15116122       -63.5674
    -0.42874100      0.7241164       7646.765     0.07965502       58.38575     -117.49116       6936.597     0.15162890       -63.5755
    -0.42495100      0.7193730       7646.500     0.07965106       58.37824     -117.51472       6936.169     0.15194604       -63.5830
    -0.42115800      0.7146258       7646.376     0.07964725       58.37787     -117.54844       6935.742     0.15209476       -63.5897
    -0.41736100      0.7098736       7646.343     0.07964354       58.38216     -117.58813       6935.321     0.15213482       -63.5957
    -0.41356100      0.7051176       7646.403     0.07963995       58.39087     -117.63407       6934.908     0.15206318       -63.6012
    -0.40975700      0.7003567       7646.570     0.07963650       58.40450     -117.68734       6934.503     0.15186224       -63.6063
    -0.40594900      0.6955907       7646.874     0.07963326       58.42416     -117.75011       6934.106     0.15149828       -63.6107
    -0.40213700      0.6908198       7647.352     0.07963027       58.45106     -117.82532       6933.720     0.15092481       -63.6148
    -0.39832200      0.6860451       7648.029     0.07962756       58.48563     -117.91464       6933.349     0.15011323       -63.6186
    -0.39450400      0.6812666       7648.928     0.07962510       58.52847     -118.01996       6932.994     0.14903575       -63.6223
    -0.39068200      0.6764831       7649.968     0.07962288       58.57660     -118.13442       6932.658     0.14778941       -63.6256
    -0.38685700      0.6716959       7651.150     0.07962091       58.63057     -118.25798       6932.339     0.14637328       -63.6285
    -0.38302800      0.6669036       7652.491     0.07961917       58.69123     -118.39180       6932.037     0.14476643       -63.6307
    -0.37919500      0.6621064       7654.007     0.07961766       58.75935     -118.53720       6931.753     0.14294863       -63.6322
    -0.37535900      0.6573054       7655.713     0.07961637       58.83551     -118.69541       6931.483     0.14090395       -63.6331
    -0.37152000      0.6525006       7657.619     0.07961526       58.91993     -118.86711       6931.231     0.13861930       -63.6333
    -0.36767700      0.6476909       7659.714     0.07961433       59.01210     -119.05161       6930.992     0.13610865       -63.6331
    -0.36383100      0.6428773       7661.963     0.07961364       59.11040     -119.24632       6930.765     0.13341369       -63.6324
    -0.35998100      0.6380588       7664.311     0.07961323       59.21220     -119.44685       6930.555     0.13059844       -63.6315
    -0.35612800      0.6332365       7666.722     0.07961315       59.31541     -119.64962       6930.368     0.12770965       -63.6304
    -0.35227200      0.6284105       7669.195     0.07961342       59.41995     -119.85438       6930.208     0.12474514       -63.6293
    -0.34841200      0.6235795       7671.757     0.07961399       59.52721     -120.06320       6930.073     0.12167481       -63.6278
    -0.34454900      0.6187447       7674.412     0.07961477       59.63817     -120.27698       6929.955     0.11849186       -63.6259
    -0.34068300      0.6139061       7677.152     0.07961567       59.75305     -120.49526       6929.847     0.11520811       -63.6234
    -0.33681300      0.6090626       7679.950     0.07961670       59.87086     -120.71624       6929.748     0.11185431       -63.6203
    -0.33294100      0.6042165       7682.781     0.07961794       59.98996     -120.93770       6929.660     0.10846224       -63.6167
    -0.32906500      0.5993655       7685.637     0.07961949       60.10940     -121.15854       6929.594     0.10503911       -63.6130
    -0.32518600      0.5945106       7688.524     0.07962127       60.22926     -121.37886       6929.555     0.10157809       -63.6090
    -0.32130300      0.5896508       7691.428     0.07962304       60.34928     -121.59783       6929.538     0.09809776       -63.6047
    -0.31741800      0.5847885       7694.307     0.07962463       60.46798     -121.81279       6929.541     0.09464774       -63.6002
    -0.31352900      0.5799212       7697.119     0.07962602       60.58358     -122.02118       6929.558     0.09127729       -63.5956
    -0.30963700      0.5750501       7699.850     0.07962731       60.69550     -122.22234       6929.585     0.08800333       -63.5910
    -0.30574300      0.5701765       7702.513     0.07962866       60.80440     -122.41707       6929.621     0.08481148       -63.5865
    -0.30184500      0.5652979       7705.128     0.07963020       60.91153     -122.60668       6929.665     0.08167815       -63.5816
    -0.29794400      0.5604155       7707.718     0.07963199       61.01828     -122.79231       6929.722     0.07857306       -63.5762
    -0.29404000      0.5555294       7710.294     0.07963405       61.12542     -122.97486       6929.787     0.07548563       -63.5700
    -0.29013400      0.5506408       7712.855     0.07963624       61.23283     -123.15471       6929.858     0.07241657       -63.5633
    -0.28622400      0.5457472       7715.392     0.07963846       61.34003     -123.33209       6929.928     0.06937556       -63.5562
    -0.28231200      0.5408511       7717.912     0.07964059       61.44723     -123.50821       6929.991     0.06635496       -63.5490
    -0.27839700      0.5359512       7720.445     0.07964264       61.55524     -123.68465       6930.055     0.06331989       -63.5414
    -0.27447900      0.5310476       7722.972     0.07964470       61.66342     -123.85966       6930.125     0.06029034       -63.5336
    -0.27055900      0.5261414       7725.422     0.07964693       61.76856     -124.02760       6930.202     0.05735404       -63.5257
    -0.26663600      0.5212315       7727.714     0.07964932       61.86712     -124.18263       6930.288     0.05460708       -63.5178
    -0.26271000      0.5163179       7729.825     0.07965175       61.95834     -124.32327       6930.384     0.05207643       -63.5100
    -0.25878200      0.5114018       7731.810     0.07965411       62.04487     -124.45338       6930.488     0.04969781       -63.5020
    -0.25485100      0.5064819       7733.747     0.07965641       62.13021     -124.57849       6930.603     0.04737594       -63.4935
    -0.25091800      0.5015594       7735.684     0.07965878       62.21618     -124.70173       6930.732     0.04505457       -63.4845
    -0.24698300      0.4966345       7737.611     0.07966134       62.30223     -124.82240       6930.874     0.04274463       -63.4750
    -0.24304500      0.4917059       7739.477     0.07966415       62.38602     -124.93714       6931.025     0.04050802       -63.4652
    -0.23910400      0.4867735       7741.229     0.07966716       62.46521     -125.04296       6931.179     0.03840880       -63.4556
    -0.23516200      0.4818398       7742.854     0.07967016       62.53954     -125.14036       6931.322     0.03646104       -63.4462
    -0.23121800      0.4769036       7744.434     0.07967293       62.61267     -125.23561       6931.451     0.03456700       -63.4368
    -0.22727200      0.4719650       7746.021     0.07967535       62.68693     -125.33264       6931.563     0.03266490       -63.4274
    -0.22332300      0.4670225       7747.644     0.07967744       62.76351     -125.43311       6931.662     0.03071982       -63.4178
    -0.21937300      0.4620788       7749.296     0.07967932       62.84198     -125.53586       6931.757     0.02874020       -63.4079
    -0.21542100      0.4571327       7750.935     0.07968108       62.92034     -125.63736       6931.852     0.02677589       -63.3979
    -0.21146700      0.4521840       7752.503     0.07968282       62.99592     -125.73320       6931.952     0.02489579       -63.3878
    -0.20751100      0.4472328       7753.933     0.07968462       63.06574     -125.81863       6932.056     0.02318174       -63.3780
    -0.20355400      0.4422804       7755.250     0.07968654       63.13061     -125.89494       6932.170     0.02160393       -63.3683
    -0.19959600      0.4373267       7756.507     0.07968866       63.19256     -125.96561       6932.298     0.02009757       -63.3587
    -0.19563600      0.4323705       7757.733     0.07969104       63.25249     -126.03229       6932.446     0.01862819       -63.3491
    -0.19167500      0.4274130       7758.938     0.07969373       63.31084     -126.09561       6932.615     0.01718312       -63.3394
    -0.18771300      0.4224543       7760.122     0.07969667       63.36795     -126.15569       6932.802     0.01576393       -63.3296
    -0.18374900      0.4174931       7761.248     0.07969969       63.42296     -126.21058       6932.996     0.01441506       -63.3197
    -0.17978500      0.4125319       7762.278     0.07970258       63.47441     -126.25857       6933.190     0.01318095       -63.3098
    -0.17582000      0.4075695       7763.209     0.07970538       63.52177     -126.29969       6933.383     0.01206513       -63.3001
    -0.17185400      0.4026058       7764.044     0.07970814       63.56507     -126.33427       6933.574     0.01106374       -63.2908
    -0.16788700      0.3976408       7764.787     0.07971091       63.60448     -126.36262       6933.762     0.01017305       -63.2817
    -0.16392000      0.3926758       7765.416     0.07971365       63.63921     -126.38344       6933.943     0.00941940       -63.2729
    -0.15995300      0.3877109       7765.903     0.07971628       63.66829     -126.39520       6934.113     0.00883624       -63.2645
    -0.15598500      0.3827447       7766.318     0.07971876       63.69451     -126.40257       6934.277     0.00833884       -63.2564
    -0.15201800      0.3777797       7766.715     0.07972104       63.72025     -126.40911       6934.437     0.00786284       -63.2483
    -0.14805000      0.3728135       7767.140     0.07972313       63.74752     -126.41761       6934.598     0.00735247       -63.2400
    -0.14408200      0.3678473       7767.609     0.07972506       63.77660     -126.42881       6934.763     0.00679136       -63.2315
    -0.14011500      0.3628824       7768.087     0.07972692       63.80584     -126.44063       6934.931     0.00621858       -63.2231
    -0.13614900      0.3579186       7768.547     0.07972880       63.83415     -126.45134       6935.099     0.00566623       -63.2148
    -0.13218200      0.3529537       7768.987     0.07973067       63.86151     -126.46080       6935.265     0.00513906       -63.2067
    -0.12821700      0.3479912       7769.397     0.07973251       63.88751     -126.46839       6935.429     0.00464758       -63.1987
    -0.12425300      0.3430300       7769.740     0.07973428       63.91034     -126.47184       6935.589     0.00423725       -63.1910
    -0.12028900      0.3380688       7770.027     0.07973606       63.93036     -126.47179       6935.748     0.00389275       -63.1838
    -0.11632700      0.3331101       7770.285     0.07973787       63.94876     -126.46988       6935.906     0.00358328       -63.1768
    -0.11236700      0.3281539       7770.533     0.07973971       63.96638     -126.46733       6936.065     0.00328688       -63.1700
    -0.10840800      0.3231990       7770.768     0.07974160       63.98310     -126.46413       6936.223     0.00300525       -63.1634
    -0.10445100      0.3182466       7770.983     0.07974358       63.99852     -126.45966       6936.381     0.00274700       -63.1570
    -0.10049600      0.3132966       7771.185     0.07974567       64.01287     -126.45412       6936.542     0.00250432       -63.1508
    -0.09654300      0.3083492       7771.379     0.07974793       64.02635     -126.44769       6936.707     0.00227279       -63.1448
    -0.09259200      0.3034043       7771.549     0.07975043       64.03840     -126.43945       6936.875     0.00206812       -63.1389
    -0.08864500      0.2984643       7771.681     0.07975320       64.04833     -126.42821       6937.046     0.00191007       -63.1333
    -0.08470000      0.2935269       7771.796     0.07975605       64.05699     -126.41549       6937.221     0.00177274       -63.1279
    -0.08075800      0.2885932       7771.903     0.07975889       64.06496     -126.40210       6937.401     0.00164392       -63.1225
    -0.07681900      0.2836633       7772.003     0.07976163       64.07234     -126.38816       6937.583     0.00152452       -63.1173
    -0.07288400      0.2787384       7772.081     0.07976406       64.07874     -126.37292       6937.767     0.00143047       -63.1122
    -0.06895200      0.2738173       7772.144     0.07976627       64.08413     -126.35664       6937.955     0.00135491       -63.1073
    -0.06502500      0.2689024       7772.188     0.07976821       64.08831     -126.33905       6938.147     0.00130326       -63.1026
    -0.06110200      0.2639925       7772.205     0.07976986       64.09108     -126.31985       6938.342     0.00128252       -63.0981
    -0.05718300      0.2590876       7772.184     0.07977111       64.09224     -126.29828       6938.538     0.00130733       -63.0937
    -0.05326900      0.2541890       7772.154     0.07977228       64.09266     -126.27609       6938.736     0.00134345       -63.0895
    -0.04936000      0.2492966       7772.117     0.07977345       64.09237     -126.25340       6938.937     0.00138780       -63.0854
    -0.04545600      0.2444105       7772.074     0.07977468       64.09132     -126.23029       6939.140     0.00143924       -63.0816
    -0.04155800      0.2395319       7772.025     0.07977607       64.08956     -126.20667       6939.344     0.00149853       -63.0779
    -0.03766600      0.2346608       7771.972     0.07977759       64.08712     -126.18284       6939.550     0.00156127       -63.0744
    -0.03377900      0.2297960       7771.914     0.07977926       64.08384     -126.15859       6939.757     0.00163121       -63.0711
    -0.02990000      0.2249412       7771.846     0.07978107       64.07958     -126.13368       6939.966     0.00171247       -63.0681
    -0.02602700      0.2200939       7771.751     0.07978312       64.07380     -126.10672       6940.176     0.00182672       -63.0652
    -0.02216100      0.2152553       7771.633     0.07978535       64.06660     -126.07810       6940.386     0.00196841       -63.0626
    -0.01830200      0.2104255       7771.499     0.07978770       64.05825     -126.04839       6940.598     0.00212888       -63.0602
    -0.01445200      0.2056070       7771.352     0.07979015       64.04883     -126.01779       6940.812     0.00230533       -63.0579
    -0.01060900      0.2007972       7771.190     0.07979266       64.03839     -125.98627       6941.025     0.00249877       -63.0559
    -0.00677500      0.1959987       7771.013     0.07979519       64.02695     -125.95381       6941.239     0.00271087       -63.0541
    -0.00295000      0.1912115       7770.830     0.07979771       64.01475     -125.92111       6941.453     0.00293072       -63.0525
     0.00086600      0.1864355       7770.638     0.07980022       64.00174     -125.88805       6941.668     0.00316052       -63.0511
     0.00467200      0.1816721       7770.435     0.07980271       63.98783     -125.85447       6941.882     0.00340349       -63.0500
     0.00846900      0.1769199       7770.210     0.07980519       63.97264     -125.81957       6942.094     0.00367372       -63.0491
     0.01225500      0.1721815       7769.962     0.07980766       63.95613     -125.78339       6942.306     0.00397087       -63.0484
     0.01603000      0.1674568       7769.701     0.07981013       63.93859     -125.74665       6942.516     0.00428322       -63.0480
     0.01979300      0.1627472       7769.433     0.07981256       63.92023     -125.70975       6942.726     0.00460434       -63.0478
     0.02354500      0.1580513       7769.164     0.07981492       63.90135     -125.67318       6942.935     0.00492660       -63.0479
     0.02728400      0.1533717       7768.902     0.07981717       63.88234     -125.63746       6943.142     0.00524121       -63.0482
     0.03101100      0.1487071       7768.653     0.07981917       63.86360     -125.60313       6943.349     0.00554010       -63.0487
     0.03472500      0.1440588       7768.412     0.07982100       63.84489     -125.56994       6943.554     0.00582806       -63.0494
     0.03842500      0.1394280       7768.178     0.07982265       63.82611     -125.53774       6943.757     0.00610839       -63.0502
     0.04211000      0.1348160       7767.947     0.07982412       63.80712     -125.50629       6943.957     0.00638540       -63.0513
     0.04578000      0.1302228       7767.715     0.07982543       63.78780     -125.47535       6944.154     0.00666343       -63.0526
     0.04943500      0.1256483       7767.479     0.07982659       63.76804     -125.44466       6944.348     0.00694682       -63.0541
     0.05307400      0.1210939       7767.226     0.07982756       63.74754     -125.41335       6944.538     0.00725047       -63.0558
     0.05669700      0.1165594       7766.956     0.07982839       63.72624     -125.38142       6944.724     0.00757414       -63.0576
     0.06030200      0.1120476       7766.668     0.07982910       63.70411     -125.34878       6944.905     0.00791904       -63.0596
     0.06388800      0.1075594       7766.359     0.07982972       63.68103     -125.31521       6945.082     0.00828865       -63.0618
     0.06745600      0.1030939       7766.028     0.07983025       63.65692     -125.28054       6945.254     0.00868605       -63.0642
     0.07100400      0.0986533       7765.672     0.07983073       63.63169     -125.24465       6945.421     0.00911236       -63.0667
     0.07455500      0.0942090       7765.291     0.07983121       63.60518     -125.20731       6945.586     0.00956861       -63.0695
     0.07810400      0.0897672       7764.884     0.07983168       63.57730     -125.16857       6945.747     0.01005738       -63.0725
     0.07810400      0.0897672       7764.884     0.07983168       63.57730     -125.16857       6945.747     0.01005738       -63.0725
     0.08145500      0.0855732       7764.478     0.07983219       63.54997     -125.13076       6945.896     0.01054333       -63.0754
     0.08437900      0.0819136       7764.106     0.07983269       63.52522     -125.09661       6946.025     0.01098911       -63.0781
     0.08699300      0.0786421       7763.757     0.07983316       63.50233     -125.06505       6946.138     0.01140787       -63.0806
     0.08934300      0.0757009       7763.426     0.07983362       63.48098     -125.03564       6946.238     0.01180430       -63.0830
     0.09147000      0.0730388       7763.112     0.07983405       63.46099     -125.00806       6946.327     0.01218141       -63.0851
     0.09340800      0.0706133       7762.806     0.07983445       63.44202     -124.98175       6946.406     0.01254714       -63.0872
     0.09518500      0.0683892       7762.512     0.07983483       63.42403     -124.95669       6946.477     0.01290003       -63.0891
     0.09682500      0.0663367       7762.230     0.07983518       63.40700     -124.93293       6946.541     0.01323840       -63.0909
     0.09834600      0.0644330       7761.959     0.07983549       63.39083     -124.91037       6946.600     0.01356271       -63.0926
     0.09976600      0.0626558       7761.699     0.07983578       63.37546     -124.88889       6946.653     0.01387400       -63.0943
     0.10109800      0.0609887       7761.450     0.07983605       63.36079     -124.86840       6946.703     0.01417316       -63.0958
     0.10235500      0.0594155       7761.210     0.07983629       63.34677     -124.84880       6946.748     0.01446100       -63.0973
     0.10354600      0.0579249       7760.978     0.07983652       63.33330     -124.83001       6946.791     0.01473865       -63.0987
     0.10468200      0.0565031       7760.754     0.07983673       63.32034     -124.81193       6946.831     0.01500698       -63.1001
     0.10577000      0.0551414       7760.537     0.07983693       63.30783     -124.79449       6946.869     0.01526702       -63.1015
     0.10681700      0.0538310       7760.326     0.07983712       63.29569     -124.77761       6946.904     0.01551977       -63.1028
     0.10782900      0.0525645       7760.121     0.07983729       63.28389     -124.76122       6946.938     0.01576616       -63.1040
     0.10881300      0.0513329       7759.920     0.07983746       63.27238     -124.74524       6946.971     0.01600717       -63.1053
     0.10977300      0.0501314       7759.722     0.07983761       63.26109     -124.72960       6947.002     0.01624379       -63.1065
     0.11071400      0.0489537       7759.528     0.07983776       63.24999     -124.71424       6947.033     0.01647688       -63.1077
     0.11164100      0.0477935       7759.335     0.07983791       63.23902     -124.69908       6947.062     0.01670752       -63.1089
     0.11255700      0.0466471       7759.144     0.07983804       63.22814     -124.68407       6947.091     0.01693659       -63.1101
     0.11346800      0.0455069       7758.953     0.07983818       63.21730     -124.66914       6947.119     0.01716514       -63.1113
     0.11437700      0.0443692       7758.762     0.07983831       63.20646     -124.65421       6947.147     0.01739417       -63.1125
     0.11528700      0.0432303       7758.570     0.07983843       63.19556     -124.63922       6947.174     0.01762485       -63.1137
     0.11620400      0.0420826       7758.375     0.07983855       63.18454     -124.62409       6947.201     0.01785833       -63.1149
     0.11713100      0.0409224       7758.177     0.07983867       63.17335     -124.60874       6947.228     0.01809595       -63.1162
     0.11807200      0.0397447       7757.974     0.07983879       63.16193     -124.59308       6947.255     0.01833915       -63.1175
