           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.58445700      0.9190050       7732.606     0.07966306       62.08329     -122.57854       6951.005     0.04249185       -63.1388
    -0.58083000      0.9144656       7730.504     0.07966127       61.99310     -122.42904       6950.976     0.04504513       -63.1442
    -0.57719800      0.9099199       7728.332     0.07965934       61.90040     -122.27495       6950.938     0.04768279       -63.1497
    -0.57356300      0.9053705       7726.098     0.07965726       61.80547     -122.11672       6950.890     0.05039576       -63.1552
    -0.56992400      0.9008160       7723.786     0.07965503       61.70761     -121.95327       6950.834     0.05320344       -63.1609
    -0.56628100      0.8962566       7721.365     0.07965253       61.60535     -121.78257       6950.765     0.05614446       -63.1668
    -0.56263400      0.8916921       7718.891     0.07964988       61.50121     -121.60842       6950.688     0.05914834       -63.1728
    -0.55898300      0.8871227       7716.365     0.07964709       61.39521     -121.43079       6950.602     0.06221616       -63.1789
    -0.55532800      0.8825482       7713.778     0.07964414       61.28681     -121.24892       6950.507     0.06535906       -63.1851
    -0.55167000      0.8779700       7711.113     0.07964112       61.17522     -121.06118       6950.410     0.06859518       -63.1914
    -0.54800700      0.8733855       7708.391     0.07963804       61.06137     -120.86916       6950.307     0.07190102       -63.1977
    -0.54434100      0.8687972       7705.614     0.07963490       60.94531     -120.67300       6950.200     0.07527351       -63.2042
    -0.54067000      0.8642028       7702.702     0.07963176       60.82348     -120.46630       6950.090     0.07881084       -63.2108
    -0.53699600      0.8596045       7699.676     0.07962858       60.69682     -120.25101       6949.974     0.08248590       -63.2176
    -0.53331700      0.8550000       7696.561     0.07962535       60.56636     -120.02897       6949.853     0.08626943       -63.2246
    -0.52963500      0.8503917       7693.345     0.07962206       60.43174     -119.79924       6949.726     0.09017478       -63.2317
    -0.52594800      0.8457772       7689.970     0.07961874       60.28997     -119.55715       6949.595     0.09427381       -63.2392
    -0.52225800      0.8411589       7686.518     0.07961536       60.14488     -119.30899       6949.459     0.09846659       -63.2469
