           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.64917200      1.0000000       7766.510     0.07919950       63.85805     -125.84294       6945.324     0.00583830       -63.0948
    -0.64556000      0.9954793       7765.627     0.07920034       63.81303     -125.77279       6945.436     0.00690064       -63.0982
    -0.64199700      0.9910200       7764.719     0.07920116       63.76659     -125.70270       6945.530     0.00799355       -63.1022
    -0.63842700      0.9865519       7763.683     0.07920183       63.71541     -125.62358       6945.620     0.00923954       -63.1062
    -0.63485300      0.9820788       7762.570     0.07920242       63.66118     -125.53954       6945.702     0.01057956       -63.1104
    -0.63127600      0.9776020       7761.399     0.07920292       63.60445     -125.45145       6945.783     0.01198833       -63.1148
    -0.62769600      0.9731214       7760.158     0.07920334       63.54524     -125.35873       6945.858     0.01348103       -63.1192
    -0.62411300      0.9686370       7758.812     0.07920363       63.48209     -125.25843       6945.931     0.01510043       -63.1237
    -0.62052600      0.9641477       7757.423     0.07920381       63.41740     -125.15519       6946.000     0.01677212       -63.1282
    -0.61693500      0.9596533       7756.009     0.07920389       63.35189     -125.05051       6946.063     0.01847409       -63.1328
    -0.61334100      0.9551552       7754.564     0.07920389       63.28532     -124.94398       6946.121     0.02021257       -63.1374
    -0.60974300      0.9506521       7753.086     0.07920379       63.21738     -124.83547       6946.174     0.02199090       -63.1421
    -0.60614200      0.9461452       7751.557     0.07920359       63.14729     -124.72393       6946.220     0.02383003       -63.1471
    -0.60253800      0.9416345       7749.972     0.07920330       63.07490     -124.60880       6946.258     0.02573766       -63.1522
    -0.59892900      0.9371176       7748.332     0.07920293       63.00030     -124.49036       6946.289     0.02771024       -63.1576
    -0.59531700      0.9325970       7746.573     0.07920242       62.92076     -124.36383       6946.313     0.02982685       -63.1633
    -0.59170100      0.9280713       7744.678     0.07920176       62.83585     -124.22780       6946.329     0.03210728       -63.1692
    -0.58808100      0.9235407       7742.688     0.07920099       62.74730     -124.08524       6946.338     0.03450156       -63.1752
    -0.58445700      0.9190050       7740.607     0.07920009       62.65533     -123.93632       6946.341     0.03700512       -63.1814
    -0.58083000      0.9144656       7738.323     0.07919900       62.55572     -123.77230       6946.340     0.03975393       -63.1875
    -0.57719800      0.9099199       7735.949     0.07919781       62.45301     -123.60167       6946.333     0.04261040       -63.1936
    -0.57356300      0.9053705       7733.510     0.07919650       62.34813     -123.42623       6946.320     0.04554518       -63.1996
    -0.56992400      0.9008160       7730.993     0.07919509       62.24057     -123.24498       6946.303     0.04857309       -63.2055
    -0.56628100      0.8962566       7728.390     0.07919359       62.12967     -123.05693       6946.284     0.05170578       -63.2114
    -0.56263400      0.8916921       7725.757     0.07919204       62.01760     -122.86649       6946.262     0.05487402       -63.2174
    -0.55898300      0.8871227       7723.084     0.07919044       61.90399     -122.67291       6946.237     0.05809030       -63.2233
    -0.55532800      0.8825482       7720.350     0.07918882       61.78773     -122.47436       6946.213     0.06137991       -63.2293
    -0.55167000      0.8779700       7717.517     0.07918719       61.66704     -122.26775       6946.192     0.06478777       -63.2354
    -0.54800700      0.8733855       7714.608     0.07918551       61.54311     -122.05512       6946.169     0.06828825       -63.2417
    -0.54434100      0.8687972       7711.622     0.07918380       61.41595     -121.83644       6946.143     0.07188067       -63.2480
    -0.54067000      0.8642028       7708.487     0.07918204       61.28234     -121.60592       6946.118     0.07565382       -63.2545
    -0.53699600      0.8596045       7705.262     0.07918016       61.14498     -121.36862       6946.088     0.07953353       -63.2612
    -0.53331700      0.8550000       7701.980     0.07917818       61.00514     -121.12690       6946.052     0.08348337       -63.2680
    -0.52963500      0.8503917       7698.636     0.07917608       60.86261     -120.88052       6946.011     0.08750627       -63.2750
    -0.52594800      0.8457772       7695.247     0.07917375       60.71782     -120.63124       6945.959     0.09158403       -63.2823
    -0.52225800      0.8411589       7691.833     0.07917127       60.57185     -120.38039       6945.898     0.09569245       -63.2898
    -0.51856400      0.8365357       7688.389     0.07916864       60.42458     -120.12758       6945.827     0.09983616       -63.2974
    -0.51486500      0.8319061       7684.916     0.07916585       60.27616     -119.87288       6945.745     0.10401475       -63.3052
    -0.51116400      0.8272741       7681.368     0.07916288       60.12456     -119.61297       6945.650     0.10828367       -63.3132
    -0.50745800      0.8226358       7677.785     0.07915980       59.97142     -119.35047       6945.546     0.11259486       -63.3213
    -0.50374800      0.8179925       7674.176     0.07915661       59.81707     -119.08598       6945.434     0.11693774       -63.3296
    -0.50003300      0.8133429       7670.534     0.07915334       59.66126     -118.81892       6945.314     0.12131963       -63.3379
    -0.49631600      0.8086909       7666.976     0.07915009       59.50801     -118.55853       6945.188     0.12560032       -63.3466
    -0.49259400      0.8040325       7663.503     0.07914686       59.35774     -118.30456       6945.058     0.12978006       -63.3554
    -0.48886900      0.7993705       7660.112     0.07914366       59.21047     -118.05704       6944.922     0.13385972       -63.3643
    -0.48513900      0.7947021       7656.819     0.07914049       59.06683     -117.81711       6944.781     0.13782152       -63.3734
    -0.48140600      0.7900300       7653.737     0.07913743       58.93096     -117.59373       6944.637     0.14153063       -63.3827
    -0.47766900      0.7853529       7650.802     0.07913439       58.80083     -117.38221       6944.488     0.14506166       -63.3921
    -0.47392800      0.7806708       7647.994     0.07913135       58.67570     -117.18056       6944.336     0.14844068       -63.4015
    -0.47018300      0.7759837       7645.321     0.07912830       58.55600     -116.98955       6944.181     0.15165693       -63.4110
    -0.46643400      0.7712916       7642.812     0.07912525       58.44296     -116.81174       6944.023     0.15467496       -63.4204
    -0.46268200      0.7665957       7640.613     0.07912218       58.34225     -116.65858       6943.864     0.15732102       -63.4299
    -0.45892600      0.7618949       7638.618     0.07911911       58.24994     -116.52151       6943.705     0.15972238       -63.4392
    -0.45516600      0.7571890       7636.823     0.07911605       58.16591     -116.40046       6943.547     0.16188114       -63.4485
    -0.45140200      0.7524781       7635.229     0.07911302       58.09007     -116.29545       6943.387     0.16379939       -63.4577
    -0.44763400      0.7477622       7633.841     0.07911006       58.02257     -116.20698       6943.228     0.16546954       -63.4669
    -0.44386300      0.7430426       7632.743     0.07910725       57.96641     -116.14150       6943.075     0.16679070       -63.4761
    -0.44008800      0.7383179       7631.824     0.07910452       57.91756     -116.09017       6942.924     0.16789620       -63.4853
    -0.43631000      0.7335895       7631.106     0.07910186       57.87709     -116.05472       6942.776     0.16876060       -63.4943
    -0.43252700      0.7288548       7630.607     0.07909927       57.84585     -116.03674       6942.629     0.16936105       -63.5031
    -0.42874100      0.7241164       7630.347     0.07909675       57.82478     -116.03804       6942.482     0.16967357       -63.5117
