               variables=             ss           x_bl          delta        delta_1        delta_2              H             Ue            tke            dps            rho          tau_w
          -2.99260026e-02           2.27207951e-02           2.72810444e-03           8.26823353e-04           3.45211563e-04           2.39512068e+00          -2.39976479e-01           1.51600193e-02           1.89562772e+00           1.01858338e+00           4.86161545e-03
          -3.16969713e-02           2.42714547e-02           2.97420771e-03           8.99192643e-04           3.74639418e-04           2.40015492e+00          -2.55203364e-01           1.46063063e-02           1.58044143e+00           1.01853133e+00           4.72721856e-03
          -3.35474095e-02           2.58779787e-02           3.16392275e-03           9.72333340e-04           4.02975372e-04           2.41288527e+00          -2.68136112e-01           1.41458018e-02           1.36699305e+00           1.01847961e+00           4.56713372e-03
          -3.54746760e-02           2.75433734e-02           3.40073036e-03           1.04906456e-03           4.39064036e-04           2.38932017e+00          -2.78893641e-01           1.37109294e-02           1.16630227e+00           1.01843011e+00           4.42645482e-03
          -3.74722895e-02           2.92636398e-02           3.60183883e-03           1.11696791e-03           4.66566494e-04           2.39401655e+00          -2.88159065e-01           1.33413556e-02           9.99603926e-01           1.01838413e+00           4.29022282e-03
          -3.95397701e-02           3.10387891e-02           3.78854166e-03           1.19156103e-03           5.00243574e-04           2.38196169e+00          -2.96195178e-01           1.30284940e-02           8.67844005e-01           1.01834391e+00           4.14302194e-03
          -4.16782373e-02           3.28704379e-02           4.01658868e-03           1.26153376e-03           5.28395202e-04           2.38748149e+00          -3.02906982e-01           1.27368034e-02           7.21376551e-01           1.01831085e+00           3.98877150e-03
          -4.38896383e-02           3.47611606e-02           4.20167877e-03           1.33298759e-03           5.55515410e-04           2.39955106e+00          -3.08779452e-01           1.24984887e-02           6.15569149e-01           1.01828506e+00           3.82723427e-03
          -4.61763695e-02           3.67141925e-02           4.41770208e-03           1.41358445e-03           5.91109204e-04           2.39140999e+00          -3.13706113e-01           1.22826160e-02           5.08721125e-01           1.01826713e+00           3.66358867e-03
          -4.85409440e-02           3.87331732e-02           4.63272512e-03           1.48926680e-03           6.20087222e-04           2.40170536e+00          -3.17862869e-01           1.20914197e-02           4.19709135e-01           1.01825763e+00           3.50304053e-03
          -5.09854475e-02           4.08216640e-02           4.81431986e-03           1.56482842e-03           6.47645875e-04           2.41617908e+00          -3.21471876e-01           1.19352738e-02           3.47711880e-01           1.01825587e+00           3.34921706e-03
          -5.35112828e-02           4.29824255e-02           5.04376929e-03           1.64935095e-03           6.84964684e-04           2.40793575e+00          -3.24396251e-01           1.17846109e-02           2.83363703e-01           1.01826184e+00           3.20378912e-03
          -5.61204723e-02           4.52187173e-02           5.25227986e-03           1.72669971e-03           7.14055117e-04           2.41816027e+00          -3.26880159e-01           1.16554936e-02           2.31697317e-01           1.01827522e+00           3.06610594e-03
          -5.88150010e-02           4.75340076e-02           5.43324078e-03           1.80260547e-03           7.41489072e-04           2.43106140e+00          -3.29016561e-01           1.15498046e-02           1.91558812e-01           1.01829551e+00           2.93835349e-03
          -6.15964511e-02           4.99316864e-02           5.64943296e-03           1.88622156e-03           7.78686291e-04           2.42231254e+00          -3.30735260e-01           1.14471539e-02           1.58534449e-01           1.01832183e+00           2.82340792e-03
