           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.64917200      1.0000000       7749.850     0.07993787       63.01270     -123.69476       6948.548     0.01546359       -63.0048
    -0.64556000      0.9954793       7748.679     0.07993631       62.95365     -123.61637       6948.552     0.01687241       -63.0118
    -0.64199700      0.9910200       7747.494     0.07993474       62.89461     -123.53717       6948.551     0.01829716       -63.0187
    -0.63842700      0.9865519       7746.292     0.07993301       62.83491     -123.45766       6948.540     0.01974259       -63.0258
    -0.63485300      0.9820788       7745.092     0.07993120       62.77540     -123.37901       6948.519     0.02118639       -63.0329
    -0.63127600      0.9776020       7743.887     0.07992930       62.71591     -123.30078       6948.490     0.02263571       -63.0402
    -0.62769600      0.9731214       7742.677     0.07992729       62.65642     -123.22304       6948.450     0.02409170       -63.0476
    -0.62411300      0.9686370       7741.455     0.07992523       62.59659     -123.14527       6948.400     0.02556133       -63.0551
    -0.62052600      0.9641477       7740.200     0.07992311       62.53567     -123.06598       6948.338     0.02707100       -63.0627
    -0.61693500      0.9596533       7738.919     0.07992095       62.47383     -122.98550       6948.267     0.02861233       -63.0705
    -0.61334100      0.9551552       7737.607     0.07991873       62.41101     -122.90363       6948.186     0.03018942       -63.0783
    -0.60974300      0.9506521       7736.252     0.07991653       62.34638     -122.81918       6948.096     0.03181943       -63.0864
    -0.60614200      0.9461452       7734.865     0.07991436       62.28032     -122.73289       6948.000     0.03348798       -63.0947
    -0.60253800      0.9416345       7733.453     0.07991215       62.21344     -122.64546       6947.895     0.03518630       -63.1030
    -0.59892900      0.9371176       7732.022     0.07990990       62.14597     -122.55729       6947.782     0.03690729       -63.1115
    -0.59531700      0.9325970       7730.561     0.07990767       62.07740     -122.46727       6947.661     0.03866486       -63.1200
    -0.59170100      0.9280713       7729.066     0.07990539       62.00781     -122.37535       6947.531     0.04046335       -63.1286
    -0.58808100      0.9235407       7727.551     0.07990302       61.93775     -122.28263       6947.392     0.04228614       -63.1372
    -0.58445700      0.9190050       7726.015     0.07990059       61.86731     -122.18907       6947.242     0.04413309       -63.1458
    -0.58083000      0.9144656       7724.427     0.07989807       61.79541     -122.09217       6947.083     0.04604310       -63.1543
    -0.57719800      0.9099199       7722.797     0.07989544       61.72253     -121.99289       6946.911     0.04800373       -63.1628
    -0.57356300      0.9053705       7721.129     0.07989270       61.64872     -121.89159       6946.726     0.05001061       -63.1712
    -0.56992400      0.9008160       7719.409     0.07988985       61.57338     -121.78730       6946.528     0.05207963       -63.1797
    -0.56628100      0.8962566       7717.567     0.07988687       61.49390     -121.67482       6946.316     0.05429525       -63.1882
    -0.56263400      0.8916921       7715.690     0.07988380       61.41344     -121.56044       6946.093     0.05655305       -63.1967
    -0.55898300      0.8871227       7713.774     0.07988064       61.33203     -121.44392       6945.857     0.05885741       -63.2052
    -0.55532800      0.8825482       7711.815     0.07987741       61.24945     -121.32469       6945.611     0.06121382       -63.2136
    -0.55167000      0.8779700       7709.895     0.07987413       61.16860     -121.20902       6945.355     0.06352392       -63.2220
    -0.54800700      0.8733855       7708.004     0.07987078       61.08932     -121.09638       6945.089     0.06579769       -63.2305
    -0.54434100      0.8687972       7706.136     0.07986737       61.01129     -120.98626       6944.810     0.06804431       -63.2390
    -0.54067000      0.8642028       7704.373     0.07986390       60.93750     -120.88544       6944.516     0.07016560       -63.2476
    -0.53699600      0.8596045       7702.665     0.07986032       60.86654     -120.79021       6944.204     0.07221978       -63.2563
    -0.53331700      0.8550000       7700.987     0.07985662       60.79739     -120.69842       6943.875     0.07423837       -63.2650
    -0.52963500      0.8503917       7699.339     0.07985280       60.73005     -120.61029       6943.530     0.07622018       -63.2737
    -0.52594800      0.8457772       7697.757     0.07984875       60.66610     -120.52951       6943.157     0.07812344       -63.2825
    -0.52225800      0.8411589       7696.208     0.07984452       60.60432     -120.45264       6942.766     0.07998719       -63.2913
    -0.51856400      0.8365357       7694.688     0.07984012       60.54474     -120.37949       6942.355     0.08181460       -63.2999
    -0.51486500      0.8319061       7693.209     0.07983552       60.48783     -120.31084       6941.925     0.08359424       -63.3084
    -0.51116400      0.8272741       7691.812     0.07983064       60.43559     -120.25095       6941.464     0.08527433       -63.3169
    -0.50745800      0.8226358       7690.419     0.07982555       60.38497     -120.19289       6940.980     0.08695050       -63.3250
    -0.50374800      0.8179925       7689.023     0.07982024       60.33577     -120.13626       6940.474     0.08862971       -63.3329
    -0.50003300      0.8133429       7687.616     0.07981474       60.28753     -120.08051       6939.943     0.09032193       -63.3406
    -0.49631600      0.8086909       7686.110     0.07980899       60.23692     -120.01975       6939.379     0.09213279       -63.3483
    -0.49259400      0.8040325       7684.524     0.07980303       60.18446     -119.95481       6938.789     0.09404037       -63.3559
    -0.48886900      0.7993705       7682.869     0.07979690       60.13054     -119.88636       6938.173     0.09603203       -63.3634
    -0.48513900      0.7947021       7681.141     0.07979058       60.07516     -119.81424       6937.532     0.09811031       -63.3707
    -0.48140600      0.7900300       7679.329     0.07978402       60.01835     -119.73834       6936.853     0.10029005       -63.3779
    -0.47766900      0.7853529       7677.498     0.07977731       59.96228     -119.66301       6936.146     0.10249264       -63.3849
    -0.47392800      0.7806708       7675.664     0.07977044       59.90740     -119.58900       6935.417     0.10469788       -63.3917
    -0.47018300      0.7759837       7673.831     0.07976341       59.85401     -119.51641       6934.667     0.10690316       -63.3982
