 1.628799946E-03 1.000000000E+00
 1.637100009E-03 9.747903347E-01
 1.243500039E-03 9.516929388E-01
 4.494799941E-04 9.265069962E-01
 3.666999983E-03 9.012008905E-01
 4.075699951E-03 8.780796528E-01
 8.095500059E-03 8.527491689E-01
 1.010899991E-02 8.295803070E-01
 1.492999960E-02 8.063210845E-01
 2.055500075E-02 7.809454203E-01
 2.738199942E-02 7.555331588E-01
 3.421000019E-02 7.322202921E-01
 4.585099965E-02 7.066615224E-01
 5.628899857E-02 6.832387447E-01
 6.993599981E-02 6.576189995E-01
 8.157700300E-02 6.341596246E-01
 9.201499820E-02 6.107368469E-01
 9.723799676E-02 5.853734016E-01
 9.844899923E-02 5.622314215E-01
 9.284099936E-02 5.371853113E-01
 8.683200181E-02 5.121513605E-01
 7.400400192E-02 4.873372018E-01
 6.678999960E-02 4.665386677E-01
 5.316000059E-02 4.396373034E-01
 4.113300145E-02 4.147864878E-01
 3.191500157E-02 3.898502588E-01
 2.510300092E-02 3.669523001E-01
 2.430900000E-02 3.438713253E-01
 2.231100015E-02 3.187153637E-01
 1.870900020E-02 2.936204374E-01
 1.149700023E-02 2.665238082E-01
 6.289999932E-03 2.435648739E-01
 5.495300051E-03 2.204838395E-01
 3.898999887E-03 1.953156739E-01
 1.098499983E-03 1.722957492E-01
 1.106800046E-03 1.470909864E-01
 5.935799796E-03 1.007214636E-01
 5.544300191E-03 7.133015990E-02
 8.359200321E-03 5.022644997E-02
 7.966400124E-03 2.503393218E-02
 1.957400003E-03 0.000000000E+00
