           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.64917200      1.0000000       7765.131     0.07868313       63.84881     -125.80599       6949.981     0.00812667       -63.0914
    -0.64556000      0.9954793       7764.051     0.07868419       63.79445     -125.72460       6950.057     0.00943054       -63.0961
    -0.64199700      0.9910200       7762.906     0.07868526       63.73761     -125.63896       6950.126     0.01081345       -63.1010
    -0.63842600      0.9865507       7761.605     0.07868618       63.67511     -125.54267       6950.185     0.01238364       -63.1059
    -0.63485300      0.9820788       7760.248     0.07868706       63.61029     -125.44281       6950.237     0.01402294       -63.1111
    -0.63127600      0.9776020       7758.845     0.07868789       63.54345     -125.33977       6950.288     0.01571621       -63.1164
    -0.62769600      0.9731214       7757.390     0.07868866       63.47464     -125.23349       6950.330     0.01747319       -63.1218
    -0.62411300      0.9686370       7755.869     0.07868939       63.40298     -125.12229       6950.373     0.01931019       -63.1274
    -0.62052600      0.9641477       7754.312     0.07869003       63.32977     -125.00872       6950.412     0.02119111       -63.1331
    -0.61693500      0.9596533       7752.734     0.07869057       63.25571     -124.89417       6950.445     0.02309666       -63.1389
    -0.61334100      0.9551552       7751.136     0.07869101       63.18083     -124.77859       6950.473     0.02502598       -63.1449
    -0.60974300      0.9506521       7749.510     0.07869131       63.10498     -124.66136       6950.496     0.02698920       -63.1510
    -0.60614200      0.9461452       7747.859     0.07869143       63.02842     -124.54283       6950.511     0.02898239       -63.1570
    -0.60253800      0.9416345       7746.189     0.07869144       62.95144     -124.42327       6950.518     0.03099955       -63.1631
    -0.59892900      0.9371176       7744.500     0.07869132       62.87420     -124.30273       6950.518     0.03303965       -63.1690
    -0.59531600      0.9325957       7742.757     0.07869102       62.79536     -124.17865       6950.510     0.03514396       -63.1749
    -0.59170100      0.9280713       7740.945     0.07869057       62.71421     -124.04988       6950.494     0.03733218       -63.1808
    -0.58808100      0.9235407       7739.079     0.07868999       62.63121     -123.91763       6950.470     0.03958532       -63.1868
    -0.58445700      0.9190050       7737.158     0.07868929       62.54616     -123.78182       6950.437     0.04190533       -63.1928
    -0.58083000      0.9144656       7735.087     0.07868836       62.45533     -123.63542       6950.397     0.04440520       -63.1990
    -0.57719800      0.9099199       7732.931     0.07868728       62.36115     -123.48301       6950.350     0.04700914       -63.2054
    -0.57356300      0.9053705       7730.703     0.07868608       62.26439     -123.32554       6950.297     0.04969941       -63.2118
    -0.56992400      0.9008160       7728.384     0.07868474       62.16438     -123.16134       6950.237     0.05250009       -63.2181
    -0.56628100      0.8962566       7725.944     0.07868327       62.05957     -122.98810       6950.175     0.05544583       -63.2246
    -0.56263400      0.8916921       7723.463     0.07868174       61.95334     -122.81167       6950.108     0.05844240       -63.2310
    -0.55898300      0.8871227       7720.932     0.07868013       61.84546     -122.63152       6950.036     0.06149825       -63.2373
    -0.55532800      0.8825482       7718.360     0.07867848       61.73580     -122.44812       6949.960     0.06460454       -63.2437
    -0.55167000      0.8779700       7715.781     0.07867676       61.62569     -122.26407       6949.884     0.06771844       -63.2502
    -0.54800700      0.8733855       7713.191     0.07867496       61.51537     -122.07918       6949.802     0.07084676       -63.2566
    -0.54434100      0.8687972       7710.593     0.07867308       61.40495     -121.89378       6949.715     0.07398369       -63.2630
