           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.64917200      1.0000000       7758.853     0.07915931       63.57883     -125.38694       6944.532     0.01190282       -63.1122
    -0.64556000      0.9954793       7757.718     0.07915959       63.52406     -125.29908       6944.637     0.01327119       -63.1159
    -0.64199700      0.9910200       7756.594     0.07915992       63.46918     -125.21284       6944.733     0.01462732       -63.1200
    -0.63842700      0.9865519       7755.442     0.07915999       63.41301     -125.12566       6944.821     0.01601614       -63.1244
    -0.63485300      0.9820788       7754.280     0.07915995       63.35607     -125.03895       6944.898     0.01741650       -63.1291
    -0.63127600      0.9776020       7753.119     0.07915983       63.29875     -124.95241       6944.976     0.01881704       -63.1340
    -0.62769600      0.9731214       7751.937     0.07915959       63.24100     -124.86530       6945.042     0.02024157       -63.1390
    -0.62411300      0.9686370       7750.752     0.07915924       63.18300     -124.77849       6945.102     0.02167072       -63.1441
    -0.62052600      0.9641477       7749.551     0.07915884       63.12451     -124.69127       6945.154     0.02311804       -63.1493
    -0.61693500      0.9596533       7748.319     0.07915837       63.06493     -124.60226       6945.198     0.02460445       -63.1547
    -0.61334100      0.9551552       7747.065     0.07915786       63.00453     -124.51227       6945.235     0.02611548       -63.1601
    -0.60974300      0.9506521       7745.744     0.07915729       62.94168     -124.41774       6945.266     0.02770849       -63.1656
    -0.60614200      0.9461452       7744.278     0.07915664       62.87356     -124.31277       6945.291     0.02947553       -63.1711
    -0.60253800      0.9416345       7742.724     0.07915590       62.80210     -124.20161       6945.311     0.03134931       -63.1767
    -0.59892900      0.9371176       7741.085     0.07915506       62.72750     -124.08450       6945.324     0.03332611       -63.1824
    -0.59531700      0.9325970       7739.242     0.07915409       62.64543     -123.95223       6945.335     0.03554740       -63.1880
    -0.59170100      0.9280713       7737.315     0.07915302       62.56014     -123.81362       6945.344     0.03787134       -63.1936
    -0.58808100      0.9235407       7735.360     0.07915187       62.47397     -123.67313       6945.348     0.04022875       -63.1992
    -0.58445700      0.9190050       7733.355     0.07915063       62.38623     -123.52907       6945.346     0.04264561       -63.2047
    -0.58083000      0.9144656       7731.399     0.07914934       62.30012     -123.38876       6945.342     0.04500440       -63.2104
    -0.57719800      0.9099199       7729.464     0.07914799       62.21498     -123.25050       6945.331     0.04733737       -63.2160
    -0.57356300      0.9053705       7727.511     0.07914656       62.12945     -123.11125       6945.312     0.04969206       -63.2217
    -0.56992400      0.9008160       7725.558     0.07914509       62.04409     -122.97248       6945.286     0.05204618       -63.2274
    -0.56628100      0.8962566       7723.441     0.07914350       61.95245     -122.82208       6945.249     0.05459886       -63.2333
