           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.64917200      1.0000000       7767.679     0.07954663       63.68640     -125.40889       6948.405     0.00301081       -63.0772
    -0.64556000      0.9954793       7767.115     0.07954700       63.65199     -125.36430       6948.508     0.00369101       -63.0814
    -0.64199700      0.9910200       7766.521     0.07954733       63.61655     -125.31905       6948.594     0.00440750       -63.0860
    -0.63842700      0.9865519       7765.821     0.07954748       63.57728     -125.26650       6948.674     0.00525352       -63.0906
    -0.63485300      0.9820788       7765.053     0.07954754       63.53556     -125.20982       6948.746     0.00617994       -63.0953
    -0.63127600      0.9776020       7764.231     0.07954750       63.49163     -125.14944       6948.816     0.00717271       -63.1001
    -0.62769600      0.9731214       7763.348     0.07954736       63.44555     -125.08532       6948.877     0.00823833       -63.1050
    -0.62411300      0.9686370       7762.352     0.07954705       63.39530     -125.01333       6948.934     0.00944070       -63.1101
    -0.62052600      0.9641477       7761.267     0.07954656       63.34197     -124.93550       6948.983     0.01075030       -63.1151
    -0.61693500      0.9596533       7760.126     0.07954593       63.28671     -124.85425       6949.024     0.01212753       -63.1202
    -0.61334100      0.9551552       7758.927     0.07954516       63.22943     -124.76946       6949.057     0.01357389       -63.1255
    -0.60974300      0.9506521       7757.625     0.07954418       63.16854     -124.67784       6949.080     0.01514556       -63.1308
    -0.60614200      0.9461452       7756.222     0.07954300       63.10402     -124.57958       6949.094     0.01683898       -63.1362
    -0.60253800      0.9416345       7754.751     0.07954170       63.03702     -124.47695       6949.099     0.01861538       -63.1417
    -0.59892900      0.9371176       7753.210     0.07954026       62.96758     -124.36994       6949.095     0.02047476       -63.1472
    -0.59531700      0.9325970       7751.524     0.07953864       62.89277     -124.25284       6949.083     0.02251039       -63.1529
    -0.59170100      0.9280713       7749.694     0.07953687       62.81273     -124.12575       6949.062     0.02471879       -63.1587
    -0.58808100      0.9235407       7747.766     0.07953497       62.72912     -123.99192       6949.032     0.02704621       -63.1646
    -0.58445700      0.9190050       7745.740     0.07953294       62.64197     -123.85138       6948.993     0.02949163       -63.1705
    -0.58083000      0.9144656       7743.473     0.07953068       62.54588     -123.69353       6948.946     0.03222789       -63.1765
    -0.57719800      0.9099199       7741.079     0.07952826       62.44513     -123.52679       6948.889     0.03511705       -63.1825
    -0.57356300      0.9053705       7738.582     0.07952570       62.34057     -123.35274       6948.823     0.03813204       -63.1887
    -0.56992400      0.9008160       7735.958     0.07952299       62.23144     -123.16976       6948.748     0.04129831       -63.1948
    -0.56628100      0.8962566       7733.114     0.07952013       62.11407     -122.97064       6948.663     0.04473192       -63.2011
    -0.56263400      0.8916921       7730.170     0.07951717       61.99311     -122.76434       6948.569     0.04828481       -63.2073
    -0.55898300      0.8871227       7727.128     0.07951412       61.86859     -122.55080       6948.466     0.05195760       -63.2135
    -0.55532800      0.8825482       7723.921     0.07951097       61.73799     -122.32504       6948.354     0.05582849       -63.2197
    -0.55167000      0.8779700       7720.538     0.07950771       61.60063     -122.08592       6948.236     0.05991174       -63.2260
    -0.54800700      0.8733855       7717.057     0.07950434       61.45951     -121.83930       6948.111     0.06411324       -63.2322
    -0.54434100      0.8687972       7713.472     0.07950088       61.31440     -121.58466       6947.979     0.06844002       -63.2385
    -0.54067000      0.8642028       7709.712     0.07949729       61.16213     -121.31632       6947.844     0.07297941       -63.2449
    -0.53699600      0.8596045       7705.846     0.07949360       61.00552     -121.03970       6947.703     0.07764577       -63.2513
    -0.53331700      0.8550000       7701.903     0.07948982       60.84582     -120.75700       6947.556     0.08240415       -63.2578
    -0.52963500      0.8503917       7697.882     0.07948594       60.68285     -120.46790       6947.402     0.08725873       -63.2644
    -0.52594800      0.8457772       7693.753     0.07948198       60.51500     -120.17046       6947.242     0.09224192       -63.2713
    -0.52225800      0.8411589       7689.588     0.07947799       60.34527     -119.86997       6947.075     0.09726887       -63.2783
    -0.51856400      0.8365357       7685.390     0.07947396       60.17380     -119.56654       6946.902     0.10233654       -63.2854
    -0.51486500      0.8319061       7681.153     0.07946991       60.00040     -119.25968       6946.722     0.10745097       -63.2927
    -0.51116400      0.8272741       7676.958     0.07946598       59.82720     -118.95553       6946.543     0.11251469       -63.3005
    -0.50745800      0.8226358       7672.804     0.07946206       59.65504     -118.65410       6946.360     0.11752828       -63.3084
    -0.50374800      0.8179925       7668.691     0.07945815       59.48392     -118.35525       6946.173     0.12249351       -63.3164
    -0.50003300      0.8133429       7664.632     0.07945426       59.31440     -118.06016       6945.983     0.12739289       -63.3247
    -0.49631600      0.8086909       7660.781     0.07945045       59.15189     -117.78119       6945.792     0.13204051       -63.3334
    -0.49259400      0.8040325       7657.015     0.07944664       58.99240     -117.50839       6945.598     0.13658610       -63.3421
