           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.64917200      1.0000000       7752.765     0.07988257       62.88097     -123.81871       6951.444     0.02273433       -63.0764
    -0.64556000      0.9954793       7751.603     0.07988112       62.82559     -123.73923       6951.447     0.02413085       -63.0819
    -0.64199700      0.9910200       7750.418     0.07987960       62.76920     -123.65895       6951.441     0.02555466       -63.0877
    -0.63842700      0.9865519       7749.134     0.07987789       62.70920     -123.57200       6951.428     0.02709727       -63.0935
    -0.63485300      0.9820788       7747.791     0.07987605       62.64705     -123.48146       6951.405     0.02871088       -63.0995
    -0.63127600      0.9776020       7746.404     0.07987409       62.58326     -123.38814       6951.377     0.03037772       -63.1056
    -0.62769600      0.9731214       7744.963     0.07987201       62.51761     -123.29161       6951.340     0.03210856       -63.1118
    -0.62411300      0.9686370       7743.442     0.07986979       62.44892     -123.18956       6951.297     0.03393589       -63.1180
    -0.62052600      0.9641477       7741.890     0.07986739       62.37908     -123.08589       6951.247     0.03580093       -63.1244
    -0.61693500      0.9596533       7740.322     0.07986487       62.30879     -122.98186       6951.187     0.03768421       -63.1309
    -0.61334100      0.9551552       7738.739     0.07986223       62.23796     -122.87731       6951.119     0.03958684       -63.1376
    -0.60974300      0.9506521       7737.154     0.07985941       62.16717     -122.77353       6951.041     0.04149092       -63.1443
    -0.60614200      0.9461452       7735.563     0.07985652       62.09623     -122.66997       6950.955     0.04340225       -63.1512
    -0.60253800      0.9416345       7733.954     0.07985356       62.02478     -122.56573       6950.860     0.04533556       -63.1582
    -0.59892900      0.9371176       7732.333     0.07985053       61.95303     -122.46128       6950.755     0.04728350       -63.1652
    -0.59531700      0.9325970       7730.661     0.07984750       61.87947     -122.35357       6950.642     0.04929267       -63.1723
    -0.59170100      0.9280713       7728.926     0.07984444       61.80382     -122.24181       6950.518     0.05137640       -63.1795
    -0.58808100      0.9235407       7727.157     0.07984132       61.72710     -122.12800       6950.386     0.05350219       -63.1866
    -0.58445700      0.9190050       7725.350     0.07983814       61.64929     -122.01197       6950.244     0.05567309       -63.1938
    -0.58083000      0.9144656       7723.469     0.07983492       61.56889     -121.89058       6950.095     0.05793373       -63.2009
    -0.57719800      0.9099199       7721.566     0.07983161       61.48798     -121.76808       6949.938     0.06021974       -63.2081
