y,rho,u1,u2,t,p
0.6324,1.0017,0.6662,0.69823,1.0336,12.466
0.62455,1.0017,0.66766,0.69692,1.0336,12.466
0.6167,1.0017,0.66973,0.6962,1.0336,12.466
0.60886,1.0017,0.6714,0.69509,1.0336,12.466
0.60101,1.0017,0.67262,0.69356,1.0336,12.466
0.59316,1.0017,0.67372,0.69197,1.0336,12.465
0.58531,1.0016,0.67508,0.69066,1.0336,12.465
0.57746,1.0016,0.67697,0.68998,1.0336,12.464
0.56962,1.0016,0.679,0.68951,1.0336,12.464
0.56177,1.0015,0.68098,0.68907,1.0335,12.463
0.55392,1.0015,0.68296,0.68872,1.0335,12.462
0.54607,1.0014,0.68498,0.68849,1.0335,12.461
0.53822,1.0014,0.68672,0.68807,1.0335,12.46
0.53038,1.0013,0.68866,0.68794,1.0334,12.459
0.52253,1.0012,0.69021,0.6875,1.0334,12.458
0.51468,1.0012,0.69202,0.68747,1.0334,12.456
0.50683,1.0011,0.69435,0.68805,1.0334,12.455
0.49898,1.001,0.69628,0.68836,1.0333,12.453
0.49113,1.0009,0.69818,0.68874,1.0333,12.452
0.48329,1.0008,0.70075,0.68987,1.0333,12.45
0.47544,1.0007,0.70288,0.69068,1.0332,12.449
0.46759,1.0006,0.70443,0.69108,1.0332,12.447
0.45974,1.0005,0.70565,0.69131,1.0331,12.446
0.45189,1.0004,0.70702,0.69178,1.0331,12.444
0.44405,1.0003,0.70891,0.6929,1.0331,12.442
0.4362,1.0002,0.71083,0.69422,1.033,12.44
0.42835,1.0001,0.7126,0.69553,1.033,12.438
0.4205,1,0.71425,0.69688,1.0329,12.436
0.41265,0.99991,0.71575,0.69822,1.0329,12.435
0.40481,0.9998,0.71701,0.69946,1.0328,12.433
0.39696,0.9997,0.71829,0.70084,1.0328,12.431
0.38911,0.99959,0.71913,0.70194,1.0327,12.429
0.38126,0.99948,0.7204,0.70362,1.0327,12.427
0.37341,0.99937,0.72183,0.7056,1.0327,12.425
0.36556,0.99927,0.7227,0.70716,1.0326,12.423
0.35772,0.99917,0.72394,0.7092,1.0326,12.422
0.34987,0.99907,0.72528,0.71147,1.0325,12.42
0.34202,0.99897,0.72594,0.71322,1.0325,12.418
0.33417,0.99887,0.72606,0.7146,1.0324,12.417
0.32632,0.99878,0.72599,0.71589,1.0324,12.415
0.31848,0.99869,0.72638,0.71775,1.0324,12.413
0.31063,0.99859,0.72697,0.71999,1.0323,12.412
0.30278,0.99851,0.72735,0.72214,1.0323,12.41
0.29493,0.99842,0.72744,0.72414,1.0323,12.409
0.28708,0.99835,0.72741,0.72613,1.0322,12.407
0.27924,0.99828,0.72704,0.7279,1.0322,12.406
0.27139,0.99821,0.72676,0.72983,1.0322,12.405
0.26354,0.99815,0.72597,0.73137,1.0321,12.404
0.25569,0.99809,0.72537,0.73321,1.0321,12.403
0.24784,0.99804,0.72507,0.73543,1.0321,12.402
0.24,0.998,0.72421,0.73717,1.0321,12.401
0.23215,0.99796,0.7234,0.73902,1.0321,12.401
0.2243,0.99793,0.72285,0.74119,1.0321,12.4
0.21645,0.99791,0.72177,0.74285,1.032,12.4
0.2086,0.99789,0.72018,0.74405,1.032,12.4
0.20075,0.99788,0.71826,0.74497,1.032,12.399
0.19291,0.99788,0.71657,0.7461,1.032,12.399
0.18506,0.99789,0.71525,0.74768,1.032,12.399
0.17721,0.99789,0.71381,0.74915,1.032,12.4
0.16936,0.99791,0.71207,0.75031,1.0321,12.4
0.16151,0.99794,0.71027,0.75139,1.0321,12.4
0.15367,0.99798,0.70815,0.75208,1.0321,12.401
0.14582,0.99803,0.70608,0.75279,1.0321,12.402
0.13797,0.99808,0.70384,0.75323,1.0321,12.403
0.13012,0.99814,0.70145,0.75349,1.0321,12.404
0.12227,0.99821,0.69954,0.75416,1.0322,12.405
0.11443,0.99828,0.69744,0.75451,1.0322,12.406
0.10658,0.99837,0.69505,0.75443,1.0322,12.408
0.098729,0.99845,0.69308,0.75467,1.0323,12.409
0.090881,0.99855,0.69111,0.75473,1.0323,12.411
0.083033,0.99865,0.68873,0.75421,1.0324,12.413
0.075185,0.99876,0.68608,0.75322,1.0324,12.415
0.067337,0.99887,0.68341,0.75203,1.0324,12.417
0.059489,0.99899,0.68109,0.75103,1.0325,12.419
0.051641,0.99911,0.67915,0.75028,1.0325,12.421
0.043792,0.99923,0.67723,0.74935,1.0326,12.423
0.035944,0.99936,0.67526,0.74815,1.0326,12.425
0.028096,0.99949,0.67343,0.7469,1.0327,12.427
0.020248,0.99962,0.67147,0.74528,1.0328,12.43
0.0124,0.99975,0.66965,0.74359,1.0328,12.432
0.0045519,0.99988,0.6679,0.74173,1.0329,12.434
-0.0032962,1,0.66611,0.73963,1.0329,12.436
-0.011144,1.0001,0.66487,0.73795,1.033,12.439
-0.018992,1.0003,0.66386,0.73626,1.033,12.441
-0.026841,1.0004,0.66263,0.7341,1.0331,12.443
-0.034689,1.0005,0.66174,0.73211,1.0331,12.445
-0.042537,1.0006,0.6614,0.7305,1.0332,12.447
-0.050385,1.0007,0.66085,0.72844,1.0332,12.449
-0.058233,1.0009,0.66,0.72588,1.0333,12.451
-0.066081,1.001,0.65917,0.72318,1.0333,12.453
-0.073929,1.0011,0.6586,0.72059,1.0334,12.455
-0.081777,1.0012,0.65855,0.71843,1.0334,12.456
-0.089625,1.0012,0.6588,0.71649,1.0334,12.458
-0.097474,1.0013,0.65911,0.71449,1.0335,12.459
-0.10532,1.0014,0.65954,0.7125,1.0335,12.46
-0.11317,1.0014,0.66016,0.71063,1.0335,12.461
-0.12102,1.0015,0.6606,0.70849,1.0335,12.462
-0.12887,1.0016,0.66131,0.70655,1.0336,12.463
-0.13671,1.0016,0.66191,0.70442,1.0336,12.464
-0.14456,1.0016,0.66257,0.70235,1.0336,12.465
-0.15241,1.0017,0.66391,0.70095,1.0336,12.465
