Points:1,rho,u1,u2,t,p
0.585435,1.00165,0.673566,0.68956,1.03448,12.4757
0.584438,1.00165,0.673694,0.689363,1.03448,12.4756
0.58344,1.00165,0.67383,0.689173,1.03448,12.4755
0.582442,1.00164,0.673978,0.688996,1.03448,12.4755
0.581445,1.00164,0.674142,0.688835,1.03447,12.4754
0.580447,1.00164,0.674324,0.688692,1.03447,12.4754
0.57945,1.00163,0.674525,0.688567,1.03447,12.4753
0.578452,1.00163,0.674743,0.688458,1.03447,12.4752
0.577454,1.00162,0.674977,0.68836,1.03447,12.4752
0.576457,1.00162,0.675222,0.68827,1.03447,12.4751
0.575459,1.00162,0.675477,0.688188,1.03446,12.475
0.574461,1.00161,0.675745,0.688115,1.03446,12.4749
0.573464,1.00161,0.676028,0.688058,1.03446,12.4749
0.572466,1.0016,0.676333,0.688023,1.03446,12.4748
0.571469,1.0016,0.676664,0.688016,1.03446,12.4747
0.570471,1.00159,0.677022,0.688041,1.03446,12.4746
0.569473,1.00159,0.677407,0.688096,1.03445,12.4745
0.568476,1.00158,0.677811,0.688176,1.03445,12.4744
0.567478,1.00158,0.678223,0.68827,1.03445,12.4743
0.56648,1.00157,0.67863,0.688365,1.03445,12.4742
0.565483,1.00156,0.679024,0.688453,1.03444,12.4741
0.564485,1.00156,0.6794,0.68853,1.03444,12.474
0.563488,1.00155,0.679758,0.688593,1.03444,12.4739
0.56249,1.00155,0.680103,0.688646,1.03444,12.4738
0.561492,1.00154,0.680439,0.688691,1.03443,12.4737
0.560495,1.00154,0.680771,0.688733,1.03443,12.4736
0.559497,1.00153,0.681107,0.688779,1.03443,12.4735
0.558499,1.00152,0.681457,0.688837,1.03443,12.4734
0.557502,1.00152,0.681825,0.688914,1.03442,12.4733
0.556504,1.00151,0.682207,0.689004,1.03442,12.4732
0.555507,1.0015,0.682591,0.689099,1.03442,12.4731
0.554509,1.0015,0.682964,0.689184,1.03442,12.4729
0.553511,1.00149,0.683313,0.689247,1.03441,12.4728
0.552514,1.00148,0.683638,0.689289,1.03441,12.4727
0.551516,1.00148,0.683948,0.689318,1.03441,12.4726
0.550518,1.00147,0.684248,0.689339,1.0344,12.4725
0.549521,1.00146,0.684542,0.689357,1.0344,12.4723
0.548523,1.00146,0.684835,0.689375,1.0344,12.4722
0.547526,1.00145,0.685127,0.689395,1.03439,12.4721
0.546528,1.00144,0.685415,0.689413,1.03439,12.472
0.54553,1.00144,0.685693,0.689424,1.03439,12.4718
0.544533,1.00143,0.685956,0.689422,1.03438,12.4717
0.543535,1.00142,0.686201,0.689403,1.03438,12.4716
0.542537,1.00141,0.686431,0.689368,1.03438,12.4714
0.54154,1.00141,0.686651,0.689324,1.03437,12.4713
0.540542,1.0014,0.686865,0.689272,1.03437,12.4712
0.539545,1.00139,0.687073,0.689214,1.03437,12.471
0.538547,1.00138,0.687279,0.689153,1.03436,12.4709
0.537549,1.00138,0.687483,0.689091,1.03436,12.4708
0.536552,1.00137,0.687687,0.689028,1.03436,12.4706
0.535554,1.00136,0.68789,0.688964,1.03435,12.4705
0.534556,1.00135,0.68809,0.688899,1.03435,12.4703
0.533559,1.00134,0.688284,0.688828,1.03435,12.4702
0.532561,1.00134,0.688468,0.688749,1.03434,12.47
0.531564,1.00133,0.688638,0.688656,1.03434,12.4699
0.530566,1.00132,0.688792,0.688545,1.03433,12.4697
0.529568,1.00131,0.688928,0.688417,1.03433,12.4696
0.528571,1.0013,0.68905,0.688275,1.03433,12.4694
0.527573,1.00129,0.68916,0.688122,1.03432,12.4693
0.526575,1.00128,0.68926,0.687961,1.03432,12.4691
0.525578,1.00127,0.689349,0.687792,1.03432,12.469
0.52458,1.00126,0.689432,0.687619,1.03431,12.4688
0.523583,1.00125,0.689512,0.687447,1.03431,12.4686
0.522585,1.00125,0.689594,0.687282,1.0343,12.4685
0.521587,1.00124,0.689685,0.687128,1.0343,12.4683
0.52059,1.00123,0.689787,0.686989,1.0343,12.4681
0.519592,1.00122,0.689904,0.686868,1.03429,12.468
0.518594,1.00121,0.690042,0.686769,1.03429,12.4678
0.517597,1.0012,0.690205,0.686697,1.03428,12.4676
0.516599,1.00119,0.690393,0.686652,1.03428,12.4675
0.515602,1.00118,0.690603,0.686632,1.03428,12.4673
0.514604,1.00117,0.690834,0.686633,1.03427,12.4671
0.513606,1.00116,0.691086,0.686657,1.03427,12.467
0.512609,1.00115,0.69136,0.686705,1.03426,12.4668
0.511611,1.00114,0.691659,0.68678,1.03426,12.4666
0.510613,1.00113,0.691982,0.68688,1.03426,12.4664
