"$ \overline{\rho}$","$ \widetilde{u_1}$","$ \widetilde{u_2}$","$ \widetilde{T}$","$ \overline{p}$","$ \overline{\mu} $","$ \rho'$","$ T'$","$ p' $","$ \tau_{11}$","$ \tau_{12}$","$ \tau_{22}$","$ \tau_{33}$","$ \tau_{13}$","$ \tau_{23}$","$ \widetilde{u_3}$","$ \frac{\partial \widetilde{u}_{1}}{\partial x_1}$","$ \frac{\partial \widetilde{u}_{1}}{\partial x_2}$","$ \frac{\partial \widetilde{u}_{2}}{\partial x_1}$","$ \frac{\partial \widetilde{u}_{2}}{\partial x_2}$","$ \frac{\partial \widetilde{T}}{\partial x_1}$","$ \frac{\partial \widetilde{T}}{\partial x_2}$","$ \frac{\partial \overline{p}}{\partial x_1}$","$ \frac{\partial \overline{p}}{\partial x_2}$","$ S_{12}\left(\widetilde{u}\right)$","$ \Omega_{12}\left(\widetilde{u}\right)$","$  \left|\left| \vec{\widetilde{u}}\right|\right| $","$ \alpha_3 $","$ I_t$","$ I_{t,\tau}$","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.948344,0.75257,-1.49799,1.01233,11.5587,1.60982e-05,0.000642109,0.000468001,0.00733804,-0.00270616,-0.000594103,-0.00119157,-0.00216166,5.17594e-06,-6.09708e-05,-0.000891407,-0.0371879,-0.0216552,-0.0332278,0.0465553,0.00352261,0.00394129,-0.0221917,0.0876518,-0.0274415,0.00578627,1.67641,-0.0192901,1000,0.00222989,1,0.0129691,1.26,0.0398309,0
0.948341,0.752592,-1.49804,1.01232,11.5587,1.60982e-05,0.000639716,0.000462687,0.00734274,-0.00269876,-0.000593865,-0.00118947,-0.00215696,3.61972e-06,-6.14433e-05,-0.000785577,-0.0374715,-0.0212613,-0.0328025,0.0468078,0.00348858,0.00391826,-0.0212755,0.0878052,-0.0270319,0.0057706,1.67646,-0.0192901,1000,0.00222446,1,0.0139668,1.26,0.0388332,0
0.948337,0.752613,-1.49808,1.01232,11.5586,1.60981e-05,0.00063739,0.000457538,0.00734741,-0.00269143,-0.000593712,-0.00118732,-0.00215171,2.17229e-06,-6.22014e-05,-0.000678446,-0.0380532,-0.0210438,-0.0317299,0.0473587,0.00346746,0.00390051,-0.0203089,0.0879706,-0.0263869,0.00534302,1.67651,-0.0192901,1000,0.00221887,1,0.0149644,1.26,0.0378356,0
0.948334,0.752634,-1.49813,1.01231,11.5585,1.60981e-05,0.000635107,0.000452528,0.00735207,-0.0026842,-0.000593668,-0.00118511,-0.00214585,8.21559e-07,-6.32512e-05,-0.000571017,-0.0390649,-0.0210729,-0.0297438,0.0483377,0.00345465,0.00388666,-0.0193083,0.0881444,-0.0254083,0.00433544,1.67656,-0.0192902,1000,0.00221308,1,0.015962,1.26,0.036838,0
0.94833,0.752655,-1.49818,1.01231,11.5584,1.6098e-05,0.000632836,0.000447628,0.0073567,-0.00267706,-0.00059374,-0.00118285,-0.00213931,-4.48597e-07,-6.45703e-05,-0.000464189,-0.0405885,-0.0213849,-0.0266822,0.0498342,0.00344128,0.00387202,-0.0182862,0.0883214,-0.0240336,0.00264868,1.67661,-0.0192902,1000,0.00220708,1,0.0169596,1.26,0.0358404,0
0.948326,0.752677,-1.49823,1.01231,11.5583,1.6098e-05,0.00063056,0.00044283,0.0073613,-0.00267003,-0.000593924,-0.00118058,-0.00213204,-1.65758e-06,-6.61108e-05,-0.000358623,-0.0426426,-0.0219893,-0.022559,0.0518542,0.00341893,0.00385303,-0.017272,0.0884809,-0.0222741,0.000284839,1.67667,-0.0192902,1000,0.00220086,1,0.0179573,1.26,0.0348427,0
0.948323,0.752699,-1.49828,1.0123,11.5582,1.60979e-05,0.000628283,0.000438156,0.00736585,-0.0026631,-0.0005942,-0.00117835,-0.00212402,-2.82893e-06,-6.78072e-05,-0.000254722,-0.0451608,-0.0228525,-0.0175462,0.054338,0.00338113,0.00382685,-0.016279,0.0886251,-0.0201993,-0.00265313,1.67673,-0.0192903,1000,0.00219443,1,0.0189549,1.26,0.0338451,0
0.948319,0.752722,-1.49834,1.0123,11.5581,1.60979e-05,0.000626022,0.000433652,0.00737037,-0.00265629,-0.000594536,-0.00117618,-0.00211527,-3.99185e-06,-6.95793e-05,-0.000152621,-0.0480106,-0.023903,-0.0119652,0.0571511,0.00332719,0.00379343,-0.015329,0.0887435,-0.0179341,-0.00596889,1.67679,-0.0192903,1000,0.00218781,1,0.0199525,1.26,0.0328475,0
0.948315,0.752747,-1.4984,1.0123,11.558,1.60978e-05,0.000623801,0.000429371,0.00737488,-0.0026496,-0.000594893,-0.00117409,-0.00210578,-5.17743e-06,-7.1344e-05,-5.23147e-05,-0.0510481,-0.0250788,-0.00614742,0.0601506,0.00326064,0.00375438,-0.014429,0.088836,-0.0156131,-0.00946571,1.67685,-0.0192904,1000,0.00218099,1,0.0209501,1.26,0.0318499,0
0.948312,0.752772,-1.49846,1.01229,11.558,1.60978e-05,0.000621633,0.000425345,0.0073794,-0.00264303,-0.00059523,-0.00117208,-0.00209556,-6.41583e-06,-7.30167e-05,4.63197e-05,-0.0541507,-0.0263173,-0.000348636,0.0632152,0.00318713,0.0037119,-0.0135836,0.0888951,-0.013333,-0.0129843,1.67691,-0.0192904,1000,0.00217398,1,0.0219477,1.26,0.0308523,0
0.948308,0.752799,-1.49852,1.01229,11.5579,1.60977e-05,0.000619511,0.000421565,0.00738398,-0.00263661,-0.000595504,-0.00117016,-0.00208462,-7.73224e-06,-7.45152e-05,0.000143477,-0.0572325,-0.0275805,0.00527104,0.0662557,0.00311234,0.00366899,-0.0127809,0.0889233,-0.0111547,-0.0164258,1.67698,-0.0192905,1000,0.00216681,1,0.0229454,1.26,0.0298546,0
0.948304,0.752827,-1.49859,1.01228,11.5578,1.60977e-05,0.000617412,0.000417986,0.00738871,-0.00263034,-0.000595671,-0.00116832,-0.00207299,-9.14281e-06,-7.57647e-05,0.000239336,-0.0602201,-0.0288346,0.0105922,0.0692011,0.00304029,0.00362751,-0.0120182,0.0889284,-0.00912118,-0.0197134,1.67706,-0.0192905,1000,0.00215948,1,0.023943,1.26,0.028857,0
0.9483,0.752857,-1.49866,1.01228,11.5577,1.60977e-05,0.0006153,0.000414541,0.00739364,-0.00262424,-0.000595688,-0.00116658,-0.00206069,-1.06525e-05,-7.67079e-05,0.000334065,-0.0630382,-0.0300294,0.0154912,0.071978,0.00297146,0.00358748,-0.0112905,0.0889153,-0.00726908,-0.0227603,1.67713,-0.0192906,1000,0.00215201,1,0.0249406,1.26,0.0278594,0
0.948296,0.752887,-1.49873,1.01228,11.5576,1.60976e-05,0.000613157,0.000411176,0.00739885,-0.00261833,-0.00059551,-0.00116493,-0.00204777,-1.22582e-05,-7.72963e-05,0.000427635,-0.0655791,-0.0311131,0.0197679,0.0744784,0.00290338,0.00354805,-0.0105895,0.0888818,-0.00567259,-0.0254405,1.67721,-0.0192906,1000,0.00214443,1,0.0259383,1.26,0.0268617,0
0.948292,0.752919,-1.49881,1.01227,11.5575,1.60976e-05,0.000610986,0.000407874,0.00740438,-0.00261262,-0.000595117,-0.00116338,-0.00203434,-1.39482e-05,-7.75197e-05,0.000519953,-0.0677684,-0.0320377,0.0232991,0.0766248,0.00283183,0.00350786,-0.00990675,0.0888353,-0.00436932,-0.0276684,1.67729,-0.0192907,1000,0.0021368,1,0.0269359,1.26,0.0258641,0
0.948288,0.752951,-1.49889,1.01227,11.5574,1.60975e-05,0.000608811,0.000404658,0.00741027,-0.00260711,-0.000594506,-0.00116191,-0.00202054,-1.57232e-05,-7.73652e-05,0.000610677,-0.0695615,-0.0327647,0.0260188,0.0783698,0.0027562,0.0034661,-0.00922751,0.0887813,-0.00337298,-0.0293917,1.67738,-0.0192907,1000,0.00212915,1,0.0279335,1.26,0.0248665,0
0.948284,0.752984,-1.49897,1.01227,11.5573,1.60975e-05,0.00060666,0.000401558,0.00741655,-0.00260178,-0.000593693,-0.00116047,-0.00200655,-1.75984e-05,-7.68153e-05,0.0006993,-0.0709495,-0.0332693,0.0279663,0.079713,0.00268043,0.00342497,-0.00854504,0.0887279,-0.00265149,-0.0306178,1.67746,-0.0192908,1000,0.00212153,1,0.0289311,1.26,0.0238689,0
0.94828,0.753017,-1.49905,1.01226,11.5572,1.60974e-05,0.000604544,0.000398588,0.00742323,-0.00259663,-0.000592712,-0.00115904,-0.00199253,-1.96014e-05,-7.58511e-05,0.000785289,-0.0719828,-0.0335494,0.0292592,0.0806939,0.00261466,0.00338843,-0.00783557,0.0886724,-0.0021451,-0.0314043,1.67755,-0.0192909,1000,0.002114,1,0.0299287,1.26,0.0228713,0
0.948276,0.753051,-1.49913,1.01226,11.5572,1.60974e-05,0.000602458,0.000395727,0.00743031,-0.00259164,-0.000591598,-0.00115759,-0.00197867,-2.17652e-05,-7.44596e-05,0.000868179,-0.07269,-0.0336201,0.0300058,0.0813609,0.0025686,0.00336144,-0.00709898,0.0886303,-0.00180717,-0.0318129,1.67764,-0.0192909,1000,0.00210661,1,0.0309264,1.26,0.0218736,0
0.948272,0.753084,-1.49921,1.01226,11.5571,1.60974e-05,0.000600372,0.000392915,0.00743777,-0.00258679,-0.000590392,-0.00115609,-0.00196508,-2.41225e-05,-7.26388e-05,0.000947684,-0.0731131,-0.0334665,0.0303127,0.0817365,0.00254966,0.00334632,-0.00632459,0.0885941,-0.00157686,-0.0318896,1.67772,-0.019291,1000,0.00209937,1,0.031924,1.26,0.020876,0
0.948268,0.753118,-1.49929,1.01225,11.557,1.60973e-05,0.000598245,0.000390077,0.00744559,-0.00258209,-0.000589132,-0.00115452,-0.00195186,-2.67009e-05,-7.0398e-05,0.00102376,-0.0732939,-0.0331374,0.0302578,0.0818697,0.00255719,0.00334363,-0.00550955,0.0885746,-0.00143981,-0.0316976,1.67781,-0.0192911,1000,0.00209233,1,0.0329216,1.26,0.0198784,0
0.948263,0.75315,-1.49937,1.01225,11.5569,1.60973e-05,0.000596045,0.000387145,0.00745373,-0.00257753,-0.000587847,-0.00115286,-0.00193907,-2.95215e-05,-6.77547e-05,0.00109655,-0.0732644,-0.0326475,0.0298978,0.0817968,0.00258337,0.00334922,-0.00467025,0.0885747,-0.00137487,-0.0312727,1.6779,-0.0192912,1000,0.0020855,1,0.0339193,1.26,0.0188807,0
0.948259,0.753183,-1.49945,1.01225,11.5568,1.60972e-05,0.000593756,0.000384083,0.00746215,-0.0025731,-0.000586556,-0.00115111,-0.00192674,-3.25975e-05,-6.47329e-05,0.00116641,-0.0730683,-0.0320341,0.0292897,0.0815584,0.0026165,0.00335745,-0.00380943,0.0885845,-0.00137223,-0.0306619,1.67799,-0.0192912,1000,0.00207888,1,0.0349169,1.26,0.0178831,0
0.948255,0.753214,-1.49953,1.01224,11.5567,1.60972e-05,0.000591386,0.000380897,0.00747083,-0.00256883,-0.000585266,-0.00114926,-0.00191491,-3.59341e-05,-6.13646e-05,0.00123387,-0.0727626,-0.0313418,0.0285067,0.0812075,0.00264607,0.00336319,-0.00292733,0.0885856,-0.00141758,-0.0299243,1.67807,-0.0192913,1000,0.00207249,1,0.0359145,1.26,0.0168855,0
