"$ \overline{\rho}$","$ \widetilde{u_1}$","$ \widetilde{u_2}$","$ \widetilde{T}$","$ \overline{p}$","$ \overline{\mu} $","$ \rho'$","$ T'$","$ p' $","$ \tau_{11}$","$ \tau_{12}$","$ \tau_{22}$","$ \tau_{33}$","$ \tau_{13}$","$ \tau_{23}$","$ \widetilde{u_3}$","$ \frac{\partial \widetilde{u}_{1}}{\partial x_1}$","$ \frac{\partial \widetilde{u}_{1}}{\partial x_2}$","$ \frac{\partial \widetilde{u}_{2}}{\partial x_1}$","$ \frac{\partial \widetilde{u}_{2}}{\partial x_2}$","$ \frac{\partial \widetilde{T}}{\partial x_1}$","$ \frac{\partial \widetilde{T}}{\partial x_2}$","$ \frac{\partial \overline{p}}{\partial x_1}$","$ \frac{\partial \overline{p}}{\partial x_2}$","$ S_{12}\left(\widetilde{u}\right)$","$ \Omega_{12}\left(\widetilde{u}\right)$","$  \left|\left| \vec{\widetilde{u}}\right|\right| $","$ \alpha_3 $","$ I_t$","$ I_{t,\tau}$","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.00172,0.669545,0.699254,1.0345,12.4767,1.63672e-05,0.000468802,0.000305978,0.00742134,-0.00273031,-0.000224348,-0.00415658,-0.00377379,3.73193e-05,0.000224531,0.00364137,-0.156056,-0.207772,-0.138843,0.14708,0.00642229,-0.000312572,0.261467,-0.0185726,-0.173307,-0.0344644,0.968122,0.0140865,1000,0.00359814,1,0,-0.3,0.624343,0
1.00172,0.669749,0.699103,1.0345,12.4767,1.63672e-05,0.000468496,0.000306042,0.00742574,-0.00272956,-0.000229956,-0.00415484,-0.00376788,2.77335e-05,0.000217206,0.00346937,-0.164913,-0.202026,-0.152766,0.155857,0.0064431,-0.000292298,0.261361,-0.0164704,-0.177396,-0.02463,0.968153,0.014082,1000,0.00359522,1,0.000997663,-0.3,0.623345,0
1.00172,0.669952,0.698947,1.0345,12.4767,1.63672e-05,0.000468123,0.000306117,0.00742948,-0.00273005,-0.000234604,-0.00415062,-0.00375903,1.86563e-05,0.000210464,0.00326389,-0.164849,-0.204945,-0.157328,0.15569,0.00645347,-0.000264751,0.261043,-0.0142527,-0.181136,-0.023808,0.96818,0.0140774,1000,0.00359064,1,0.00199527,-0.3,0.622347,0
1.00172,0.670159,0.698793,1.0345,12.4768,1.63672e-05,0.000467703,0.000306243,0.00743253,-0.00273214,-0.000238714,-0.00414465,-0.00374793,9.95646e-06,0.000204362,0.00303433,-0.162246,-0.210054,-0.159071,0.153002,0.00644147,-0.000215186,0.260556,-0.0118976,-0.184562,-0.0254912,0.968212,0.0140728,1000,0.00358502,1,0.00299287,-0.3,0.62135,0
1.00172,0.670371,0.698641,1.0345,12.4768,1.63672e-05,0.000467271,0.000306422,0.00743524,-0.00273601,-0.000242661,-0.00413756,-0.00373535,1.07179e-06,0.000198921,0.00279488,-0.160913,-0.213564,-0.161748,0.151569,0.00641167,-0.000147065,0.259956,-0.00949053,-0.187656,-0.025908,0.968248,0.0140681,1000,0.00357891,1,0.00399053,-0.3,0.620352,0
1.00172,0.670585,0.69849,1.0345,12.4768,1.63672e-05,0.000466867,0.000306634,0.00743804,-0.00274155,-0.000246525,-0.00412964,-0.00372277,-8.49778e-06,0.000193935,0.00256062,-0.161493,-0.214846,-0.165976,0.152067,0.00637802,-7.49769e-05,0.259255,-0.0070452,-0.190411,-0.0244353,0.968287,0.0140635,1000,0.00357291,1,0.00498813,-0.3,0.619355,0
1.00172,0.670799,0.698338,1.0345,12.4768,1.63672e-05,0.000466526,0.000306864,0.00744133,-0.0027483,-0.000249992,-0.00412081,-0.00371267,-1.88114e-05,0.000189046,0.0023413,-0.163372,-0.214517,-0.171278,0.15389,0.00635205,-1.15814e-05,0.258411,-0.00456827,-0.192897,-0.0216193,0.968325,0.0140588,1000,0.00356775,1,0.0059858,-0.3,0.618357,0
1.00172,0.671012,0.698183,1.0345,12.4768,1.63672e-05,0.000466272,0.000307117,0.00744553,-0.00275556,-0.00025243,-0.00411077,-0.00370727,-2.96169e-05,0.000183997,0.00213934,-0.167143,-0.211874,-0.178394,0.157592,0.00634068,3.98264e-05,0.257365,-0.00186599,-0.195134,-0.01674,0.96836,0.0140541,1000,0.0035639,1,0.0069834,-0.3,0.617359,0
1.00172,0.671221,0.698022,1.0345,12.4768,1.63672e-05,0.000466144,0.000307397,0.00745109,-0.00276264,-0.000253218,-0.00409947,-0.00370684,-4.06614e-05,0.000178695,0.00195384,-0.175392,-0.204075,-0.189918,0.165776,0.00633881,8.26103e-05,0.255953,0.00117148,-0.196996,-0.00707858,0.968388,0.0140494,1000,0.00356124,1,0.007981,-0.3,0.616362,0
1.00172,0.671417,0.697849,1.0345,12.4768,1.63672e-05,0.000466193,0.000307682,0.00745842,-0.00276929,-0.000252325,-0.00408785,-0.00371007,-5.16466e-05,0.000173092,0.00178511,-0.191417,-0.187714,-0.208924,0.181714,0.00633517,0.000130865,0.254215,0.00460548,-0.198319,0.010605,0.968399,0.0140447,1000,0.00355964,1,0.00897866,-0.3,0.615364,0
