y,rho,u1,u2,T,p
0.0528,0.948384,0.752283,-1.49747,1.01238,11.5599
0.0518024,0.948382,0.752301,-1.4975,1.01238,11.5598
0.0508047,0.948379,0.75232,-1.49752,1.01237,11.5597
0.0498071,0.948377,0.752341,-1.49756,1.01237,11.5596
0.0488095,0.948374,0.752363,-1.49759,1.01236,11.5595
0.0478119,0.948371,0.752386,-1.49763,1.01236,11.5594
0.0468143,0.948368,0.752409,-1.49767,1.01235,11.5594
0.0458166,0.948364,0.752433,-1.49771,1.01235,11.5593
0.044819,0.948361,0.752457,-1.49776,1.01235,11.5592
0.0438214,0.948358,0.75248,-1.4978,1.01234,11.5591
0.0428238,0.948355,0.752503,-1.49785,1.01234,11.559
0.0418261,0.948351,0.752526,-1.4979,1.01233,11.5589
0.0408285,0.948348,0.752549,-1.49794,1.01233,11.5588
0.0398309,0.948344,0.75257,-1.49799,1.01233,11.5587
0.0388332,0.948341,0.752592,-1.49804,1.01232,11.5587
0.0378356,0.948337,0.752613,-1.49808,1.01232,11.5586
0.036838,0.948334,0.752634,-1.49813,1.01231,11.5585
0.0358404,0.94833,0.752655,-1.49818,1.01231,11.5584
0.0348427,0.948326,0.752677,-1.49823,1.01231,11.5583
0.0338451,0.948323,0.752699,-1.49828,1.0123,11.5582
0.0328475,0.948319,0.752722,-1.49834,1.0123,11.5581
0.0318499,0.948315,0.752747,-1.4984,1.0123,11.558
0.0308523,0.948312,0.752772,-1.49846,1.01229,11.558
0.0298546,0.948308,0.752799,-1.49852,1.01229,11.5579
0.028857,0.948304,0.752827,-1.49859,1.01228,11.5578
0.0278594,0.9483,0.752857,-1.49866,1.01228,11.5577
0.0268617,0.948296,0.752887,-1.49873,1.01228,11.5576
0.0258641,0.948292,0.752919,-1.49881,1.01227,11.5575
0.0248665,0.948288,0.752951,-1.49889,1.01227,11.5574
0.0238689,0.948284,0.752984,-1.49897,1.01227,11.5573
0.0228713,0.94828,0.753017,-1.49905,1.01226,11.5572
0.0218736,0.948276,0.753051,-1.49913,1.01226,11.5572
0.020876,0.948272,0.753084,-1.49921,1.01226,11.5571
0.0198784,0.948268,0.753118,-1.49929,1.01225,11.557
0.0188807,0.948263,0.75315,-1.49937,1.01225,11.5569
0.0178831,0.948259,0.753183,-1.49945,1.01225,11.5568
0.0168855,0.948255,0.753214,-1.49953,1.01224,11.5567
0.0158879,0.948251,0.753245,-1.49961,1.01224,11.5566
0.0148902,0.948247,0.753275,-1.4997,1.01224,11.5565
0.0138926,0.948243,0.753305,-1.49978,1.01223,11.5565
0.012895,0.948239,0.753334,-1.49985,1.01223,11.5564
0.0118974,0.948235,0.753362,-1.49993,1.01223,11.5563
0.0108997,0.94823,0.75339,-1.50002,1.01222,11.5562
0.00990213,0.948226,0.753418,-1.5001,1.01222,11.5561
0.0089045,0.948222,0.753447,-1.50018,1.01222,11.556
0.00790687,0.948218,0.753476,-1.50026,1.01221,11.5559
0.00690925,0.948214,0.753505,-1.50035,1.01221,11.5558
0.00591162,0.948209,0.753535,-1.50044,1.01221,11.5557
0.004914,0.948205,0.753565,-1.50053,1.0122,11.5557
0.00391637,0.948201,0.753596,-1.50062,1.0122,11.5556
0.00291875,0.948197,0.753627,-1.50071,1.0122,11.5555
0.00192112,0.948192,0.753658,-1.5008,1.01219,11.5554
0.0009235,0.948188,0.753688,-1.5009,1.01219,11.5553
-0.000074125,0.948184,0.753718,-1.50099,1.01219,11.5552
-0.00107175,0.94818,0.753746,-1.50108,1.01219,11.5551
-0.00206938,0.948176,0.753773,-1.50117,1.01218,11.555
-0.003067,0.948171,0.753798,-1.50126,1.01218,11.555
-0.00406463,0.948167,0.753821,-1.50134,1.01218,11.5549
-0.00506225,0.948163,0.753843,-1.50142,1.01217,11.5548
-0.00605987,0.948159,0.753863,-1.5015,1.01217,11.5547
-0.0070575,0.948155,0.753881,-1.50157,1.01217,11.5546
-0.00805513,0.94815,0.753897,-1.50165,1.01216,11.5545
-0.00905275,0.948146,0.753912,-1.50172,1.01216,11.5544
-0.0100504,0.948142,0.753926,-1.50179,1.01216,11.5544
-0.011048,0.948138,0.753939,-1.50186,1.01216,11.5543
-0.0120456,0.948133,0.753952,-1.50192,1.01215,11.5542
-0.0130432,0.948129,0.753965,-1.50199,1.01215,11.5541
-0.0140409,0.948124,0.753977,-1.50206,1.01215,11.554
-0.0150385,0.94812,0.753989,-1.50213,1.01215,11.5539
-0.0160361,0.948115,0.754001,-1.5022,1.01214,11.5539
-0.0170338,0.948111,0.754012,-1.50227,1.01214,11.5538
-0.0180314,0.948106,0.754024,-1.50234,1.01214,11.5537
-0.019029,0.948101,0.754034,-1.50241,1.01214,11.5536
-0.0200266,0.948097,0.754045,-1.50248,1.01213,11.5535
-0.0210242,0.948092,0.754054,-1.50256,1.01213,11.5534
-0.0220219,0.948088,0.754063,-1.50263,1.01213,11.5534
-0.0230195,0.948083,0.754071,-1.50269,1.01213,11.5533
-0.0240171,0.948079,0.754079,-1.50276,1.01212,11.5532
-0.0250148,0.948074,0.754085,-1.50283,1.01212,11.5531
-0.0260124,0.948069,0.754091,-1.5029,1.01212,11.553
-0.02701,0.948065,0.754097,-1.50297,1.01212,11.553
-0.0280076,0.94806,0.754101,-1.50303,1.01212,11.5529
-0.0290052,0.948056,0.754104,-1.5031,1.01211,11.5528
-0.0300029,0.948051,0.754106,-1.50316,1.01211,11.5527
-0.0310005,0.948046,0.754107,-1.50322,1.01211,11.5526
-0.0319981,0.948042,0.754106,-1.50328,1.01211,11.5526
-0.0329957,0.948037,0.754104,-1.50334,1.01211,11.5525
-0.0339934,0.948033,0.754101,-1.50339,1.0121,11.5524
-0.034991,0.948028,0.754096,-1.50345,1.0121,11.5523
-0.0359886,0.948024,0.75409,-1.5035,1.0121,11.5523
-0.0369863,0.948019,0.754082,-1.50354,1.0121,11.5522
-0.0379839,0.948015,0.754074,-1.50359,1.0121,11.5521
-0.0389815,0.94801,0.754066,-1.50364,1.01209,11.552
-0.0399791,0.948006,0.754057,-1.50368,1.01209,11.5519
-0.0409768,0.948001,0.754047,-1.50373,1.01209,11.5519
-0.0419744,0.947997,0.754037,-1.50377,1.01209,11.5518
-0.042972,0.947993,0.754026,-1.50381,1.01208,11.5517
-0.0439696,0.947988,0.754014,-1.50386,1.01208,11.5516
-0.0449672,0.947984,0.754002,-1.5039,1.01208,11.5516
-0.0459649,0.94798,0.753989,-1.50394,1.01208,11.5515
-0.0469625,0.947976,0.753976,-1.50398,1.01208,11.5514
-0.0479601,0.947972,0.753962,-1.50402,1.01207,11.5513
-0.0489578,0.947967,0.753947,-1.50406,1.01207,11.5513
-0.0499554,0.947963,0.753931,-1.5041,1.01207,11.5512
-0.050953,0.947959,0.753913,-1.50414,1.01207,11.5511
-0.0519506,0.947955,0.753894,-1.50417,1.01207,11.551
-0.0529483,0.947951,0.753874,-1.5042,1.01206,11.551
-0.0539459,0.947947,0.753852,-1.50423,1.01206,11.5509
-0.0549435,0.947943,0.753827,-1.50426,1.01206,11.5508
-0.0559411,0.947939,0.753801,-1.50428,1.01206,11.5508
-0.0569387,0.947935,0.753773,-1.5043,1.01206,11.5507
-0.0579364,0.947932,0.753744,-1.50432,1.01205,11.5506
-0.058934,0.947928,0.753713,-1.50433,1.01205,11.5505
-0.0599316,0.947924,0.753682,-1.50435,1.01205,11.5505
-0.0609292,0.94792,0.75365,-1.50436,1.01205,11.5504
-0.0619269,0.947916,0.753617,-1.50437,1.01205,11.5503
-0.0629245,0.947913,0.753584,-1.50439,1.01204,11.5503
-0.0639221,0.947909,0.753551,-1.5044,1.01204,11.5502
-0.0649197,0.947905,0.753519,-1.50442,1.01204,11.5501
-0.0659174,0.947902,0.753486,-1.50443,1.01204,11.5501
-0.066915,0.947898,0.753453,-1.50445,1.01204,11.55
-0.0679126,0.947894,0.753421,-1.50447,1.01203,11.5499
-0.0689102,0.947891,0.753389,-1.50449,1.01203,11.5499
-0.0699079,0.947887,0.753358,-1.50451,1.01203,11.5498
-0.0709055,0.947884,0.753327,-1.50453,1.01203,11.5497
-0.0719031,0.947881,0.753296,-1.50456,1.01203,11.5497
-0.0729007,0.947877,0.753267,-1.50458,1.01203,11.5496
-0.0738984,0.947874,0.753237,-1.50461,1.01202,11.5496
-0.074896,0.94787,0.753209,-1.50464,1.01202,11.5495
-0.0758936,0.947867,0.753181,-1.50467,1.01202,11.5494
-0.0768913,0.947864,0.753154,-1.5047,1.01202,11.5494
-0.0778889,0.94786,0.753127,-1.50474,1.01202,11.5493
-0.0788865,0.947857,0.753102,-1.50478,1.01202,11.5493
-0.0798841,0.947854,0.753076,-1.50481,1.01201,11.5492
-0.0808818,0.947851,0.753052,-1.50485,1.01201,11.5491
-0.0818794,0.947848,0.753029,-1.5049,1.01201,11.5491
-0.082877,0.947844,0.753006,-1.50494,1.01201,11.549
-0.0838746,0.947841,0.752985,-1.50499,1.01201,11.549
-0.0848723,0.947838,0.752964,-1.50504,1.01201,11.5489
-0.0858699,0.947835,0.752944,-1.50509,1.012,11.5489
-0.0868675,0.947832,0.752924,-1.50514,1.012,11.5488
-0.0878651,0.947829,0.752905,-1.50519,1.012,11.5488
-0.0888627,0.947826,0.752887,-1.50525,1.012,11.5487
-0.0898604,0.947823,0.752868,-1.5053,1.012,11.5487
-0.090858,0.94782,0.752849,-1.50536,1.012,11.5486
-0.0918556,0.947818,0.75283,-1.50542,1.012,11.5486
-0.0928532,0.947815,0.75281,-1.50547,1.01199,11.5485
-0.0938509,0.947812,0.75279,-1.50553,1.01199,11.5485
-0.0948485,0.947809,0.75277,-1.50559,1.01199,11.5484
-0.0958461,0.947806,0.752749,-1.50565,1.01199,11.5484
-0.0968437,0.947804,0.752728,-1.50571,1.01199,11.5483
-0.0978414,0.947801,0.752707,-1.50576,1.01199,11.5483
-0.098839,0.947798,0.752687,-1.50583,1.01199,11.5482
-0.0998366,0.947796,0.752667,-1.50589,1.01198,11.5482
-0.100834,0.947793,0.752647,-1.50595,1.01198,11.5481
-0.101832,0.947791,0.752628,-1.50602,1.01198,11.5481
-0.10283,0.947788,0.752608,-1.50608,1.01198,11.548
-0.103827,0.947785,0.752589,-1.50615,1.01198,11.548
-0.104825,0.947783,0.752569,-1.50622,1.01198,11.5479
-0.105822,0.947781,0.752549,-1.50629,1.01198,11.5479
-0.10682,0.947778,0.752527,-1.50635,1.01198,11.5478
-0.107818,0.947776,0.752505,-1.50642,1.01197,11.5478
-0.108815,0.947774,0.752482,-1.50648,1.01197,11.5478
-0.109813,0.947771,0.752458,-1.50655,1.01197,11.5477
-0.110811,0.947769,0.752434,-1.50661,1.01197,11.5477
-0.111808,0.947767,0.752409,-1.50667,1.01197,11.5476
-0.112806,0.947765,0.752384,-1.50674,1.01197,11.5476
-0.113803,0.947762,0.752358,-1.5068,1.01197,11.5476
-0.114801,0.94776,0.752332,-1.50686,1.01197,11.5475
-0.115799,0.947758,0.752306,-1.50692,1.01196,11.5475
-0.116796,0.947756,0.752279,-1.50698,1.01196,11.5474
-0.117794,0.947754,0.752252,-1.50704,1.01196,11.5474
-0.118791,0.947752,0.752223,-1.5071,1.01196,11.5474
-0.119789,0.94775,0.752194,-1.50715,1.01196,11.5473
-0.120787,0.947748,0.752162,-1.5072,1.01196,11.5473
-0.121784,0.947746,0.75213,-1.50725,1.01196,11.5472
-0.122782,0.947744,0.752096,-1.5073,1.01196,11.5472
-0.12378,0.947742,0.75206,-1.50734,1.01195,11.5472
-0.124777,0.94774,0.752022,-1.50739,1.01195,11.5471
-0.125775,0.947738,0.751983,-1.50742,1.01195,11.5471
-0.126772,0.947736,0.751941,-1.50746,1.01195,11.5471
-0.12777,0.947735,0.751899,-1.50749,1.01195,11.547
-0.128768,0.947733,0.751855,-1.50752,1.01195,11.547
-0.129765,0.947731,0.751809,-1.50754,1.01195,11.547
-0.130763,0.947729,0.751763,-1.50756,1.01195,11.5469
-0.131761,0.947728,0.751715,-1.50758,1.01195,11.5469
-0.132758,0.947726,0.751666,-1.5076,1.01195,11.5469
-0.133756,0.947724,0.751616,-1.50762,1.01195,11.5469
-0.134753,0.947722,0.751564,-1.50763,1.01195,11.5468
-0.135751,0.94772,0.751512,-1.50764,1.01195,11.5468
-0.136749,0.947719,0.751459,-1.50766,1.01194,11.5468
-0.137746,0.947717,0.751404,-1.50766,1.01194,11.5467
-0.138744,0.947715,0.751349,-1.50767,1.01194,11.5467
-0.139742,0.947714,0.751293,-1.50768,1.01194,11.5467
-0.140739,0.947712,0.751236,-1.50768,1.01194,11.5467
-0.141737,0.94771,0.751178,-1.50769,1.01194,11.5466
-0.142734,0.947709,0.751121,-1.50769,1.01194,11.5466
-0.143732,0.947707,0.751063,-1.5077,1.01194,11.5466
-0.14473,0.947706,0.751005,-1.5077,1.01194,11.5466
-0.145727,0.947704,0.750948,-1.50771,1.01194,11.5466
-0.146725,0.947703,0.750891,-1.50772,1.01194,11.5465
-0.147723,0.947701,0.750835,-1.50772,1.01194,11.5465
-0.14872,0.9477,0.750779,-1.50773,1.01194,11.5465
-0.149718,0.947698,0.750722,-1.50774,1.01194,11.5465
-0.150716,0.947697,0.750665,-1.50775,1.01194,11.5465
-0.151713,0.947696,0.750606,-1.50776,1.01194,11.5464
-0.152711,0.947694,0.750547,-1.50776,1.01194,11.5464
-0.153708,0.947693,0.750488,-1.50777,1.01194,11.5464
-0.154706,0.947692,0.750428,-1.50777,1.01194,11.5464
-0.155704,0.94769,0.750367,-1.50777,1.01194,11.5464
-0.156701,0.947689,0.750304,-1.50777,1.01194,11.5464
-0.157699,0.947688,0.75024,-1.50776,1.01194,11.5463
-0.158697,0.947687,0.750176,-1.50775,1.01194,11.5463
-0.159694,0.947687,0.75011,-1.50774,1.01194,11.5463
-0.160692,0.947686,0.750043,-1.50773,1.01194,11.5463
